"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES UNDERLYING DRS (C1)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","AS ON DATE","ACTION"
"KIOCL Limited","99.03","0.97",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156013_423394_07042021105535_WEB.xml"
"Madhucon Projects Limited","58.96","41.04",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156015_423409_07042021110923_WEB.xml"
"Creative Peripherals and Distribution Limited","68.95","31.05",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156017_423428_07042021111947_WEB.xml"
"Punjab National Bank","76.87","23.13",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156019_423430_07042021112122_WEB.xml"
"Gujarat State Fertilizers & Chemicals Limited","37.84","62.16",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156020_423438_07042021112634_WEB.xml"
"Gillanders Arbuthnot & Company Limited","69.05","30.95",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156023_423452_07042021113413_WEB.xml"
"Omkar Speciality Chemicals Limited","27.62","72.38",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156024_423466_07042021113849_WEB.xml"
"Somany Home Innovation Limited","51.11","48.9",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156026_423482_07042021114739_WEB.xml"
"Goldiam International Limited","66.27","33.73",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156027_423484_07042021114804_WEB.xml"
"ICRA Limited","51.87","47.8",,"0.33","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156028_423501_07042021115237_WEB.xml"
"Granules India Limited","42.04","57.96",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156030_423508_07042021115411_WEB.xml"
"Madhya Bharat Agro Products Limited","74.74","25.26",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156033_423527_07042021120124_WEB.xml"
"R. S. Software (India) Limited","40.67","59.33",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156034_423550_07042021121802_WEB.xml"
"Kingfa Science & Technology (India) Limited","74.99","25.01",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156035_423578_07042021122858_WEB.xml"
"Mahanagar Telephone Nigam Limited","56.89","43.11",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156036_423580_07042021122920_WEB.xml"
"Gokul Refoils and Solvent Limited","72.09","27.91",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156038_423590_07042021123629_WEB.xml"
"Airo Lam limited","52.23","47.78",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156039_423597_07042021123824_WEB.xml"
"Visa Steel Limited","58.88","41.12",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156040_423601_07042021123944_WEB.xml"
"Pansari Developers Limited","73.93","26.07",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156041_423605_07042021124026_WEB.xml"
"NCL Industries Limited","44.06","55.94",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156042_423611_07042021124454_WEB.xml"
"Pennar Industries Limited","37.69","62.31",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156043_423620_07042021124927_WEB.xml"
"Ahluwalia Contracts (India) Limited","58","42",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156044_423629_07042021125417_WEB.xml"
"Maithan Alloys Limited","74.99","25.01",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156045_423638_07042021125840_WEB.xml"
"Ruchi Infrastructure Limited","65.71","34.29",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156046_423646_07042021010000_WEB.xml"
"Softtech Engineers Limited","43.39","56.6",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156047_423648_07042021010202_WEB.xml"
"Esab India Limited","73.72","26.28",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156049_423659_07042021010741_WEB.xml"
"Indbank Merchant Banking Services Limited","64.84","35.16",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156052_423671_07042021011402_WEB.xml"
"Krishana Phoschem Limited","67.13","32.87",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156053_423695_07042021012726_WEB.xml"
"PBA Infrastructure Limited","54.7","45.3",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156058_423738_07042021015835_WEB.xml"
"Felix Industries Limited","73.14","26.86",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156060_423749_07042021020647_WEB.xml"
"Acrysil Limited","44.04","55.96",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156061_423753_07042021020837_WEB.xml"
"Bank of India","89.1","10.9",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156062_423755_07042021021044_WEB.xml"
"Transformers And Rectifiers (India) Limited","74.91","25.09",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156063_423757_07042021021159_WEB.xml"
"Indian Hume Pipe Company Limited","69.92","30.08",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156064_423765_07042021021739_WEB.xml"
"Solex Energy Limited","70.43","29.57",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156065_423767_07042021021750_WEB.xml"
"Shiva Texyarn Limited","74.04","25.96",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156066_423786_07042021023450_WEB.xml"
"Ksolves India Limited","68.01","31.98",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156067_423794_07042021023632_WEB.xml"
"Heritage Foods Limited","39.9","60.1",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156068_423802_07042021023845_WEB.xml"
"Shemaroo Entertainment Limited","65.88","34.12",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156072_423858_07042021030817_WEB.xml"
"Ahimsa Industries Limited","69.28","30.72",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156073_423884_07042021031515_WEB.xml"
"Ratnamani Metals & Tubes Limited","60.16","39.84",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156079_423977_07042021034252_WEB.xml"
"Regency Ceramics Limited","60.59","39.41",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156081_424003_07042021035118_WEB.xml"
"Nectar Lifesciences Limited","55.8","44.2",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156082_424016_07042021035500_WEB.xml"
"Globe Textiles (India) Limited","73.36","26.64",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156083_424018_07042021035527_WEB.xml"
"Kalyani Investment Company Limited","73.6","26.4",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156085_424039_07042021040128_WEB.xml"
"Coal India Limited","66.13","33.87",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156087_424050_07042021040821_WEB.xml"
"Thangamayil Jewellery Limited","70.07","29.93",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156088_424064_07042021041051_WEB.xml"
"Shrenik Limited","63.39","36.6",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156090_424073_07042021041507_WEB.xml"
"Bodal Chemicals Limited","59.02","40.98",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156091_424085_07042021041920_WEB.xml"
"Vishnu Chemicals Limited","75","25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156092_424093_07042021042432_WEB.xml"
"Kalyani Steels Limited","64.71","35.29",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156093_424096_07042021042509_WEB.xml"
"Bharat Dynamics Limited","74.93","25.07",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156094_424098_07042021042645_WEB.xml"
"Palred Technologies Limited","37.78","62.22",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156095_424106_07042021042743_WEB.xml"
"Rain Industries Limited","41.14","58.86",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156096_424108_07042021042749_WEB.xml"
"Libas Consumer Products Limited","54.29","45.7",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156097_424126_07042021043018_WEB.xml"
"Intrasoft Technologies Limited","47.68","52.32",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156098_424174_07042021044249_WEB.xml"
"SMVD Poly Pack Limited","65.53","34.47",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156102_424206_07042021045248_WEB.xml"
"Wonderla Holidays Limited","69.77","30.23",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156103_424209_07042021045503_WEB.xml"
"Central Bank of India","89.78","10.22",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156104_424211_07042021045522_WEB.xml"
"Torrent Power Limited","53.57","46.43",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156105_424241_07042021050613_WEB.xml"
"Innovana Thinklabs Limited","73.17","26.83",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156106_424260_07042021051426_WEB.xml"
"Orient Abrasives Limited","63.58","36.42",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156107_424263_07042021051553_WEB.xml"
"Canara Bank","69.33","30.67",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156109_424316_07042021053641_WEB.xml"
"Star Cement Limited","67.11","32.89",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156110_424319_07042021053854_WEB.xml"
"TCI Express Limited","66.79","33.21",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156111_424343_07042021054411_WEB.xml"
"Vadilal Industries Limited","64.72","35.28",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156113_424387_07042021060102_WEB.xml"
"PSP Projects Limited","74.19","25.81",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156114_424389_07042021060108_WEB.xml"
"Bhagyanagar India Limited","74.01","25.99",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156115_424393_07042021060208_WEB.xml"
"Bhagyanagar Properties Limited","75","25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156117_424405_07042021060409_WEB.xml"
"Century Textiles & Industries Limited","50.21","49.79",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156119_424411_07042021060847_WEB.xml"
"Alembic Pharmaceuticals Limited","69.48","30.52",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156120_424416_07042021061029_WEB.xml"
"Kapston Facilities Management Limited","72.86","27.13",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156122_424428_07042021062040_WEB.xml"
"Hi-Tech Pipes Limited","62.48","37.51",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156124_424449_07042021062719_WEB.xml"
"Union Bank of India","89.07","10.93",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156125_424455_07042021062815_WEB.xml"
"Shyam Century Ferrous Limited","54.49","45.51",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156126_424468_07042021064145_WEB.xml"
"Alembic Limited","70.88","29.12",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156128_424477_07042021064522_WEB.xml"
"Music Broadcast Limited","74.05","25.95",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156129_424486_07042021064821_WEB.xml"
"MMP Industries Limited","74.48","25.52",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156130_424497_07042021070003_WEB.xml"
"ICICI Securities Limited","75","25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156131_424501_07042021070437_WEB.xml"
"OnMobile Global Limited","48.73","51.27",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156133_424511_07042021071350_WEB.xml"
"ROUTE MOBILE LIMITED","65.35","34.65",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156134_424520_07042021072040_WEB.xml"
"Bombay Super Hybrid Seeds Limited","73.13","26.87",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156136_424525_07042021072911_WEB.xml"
"MT Educare Limited","63.28","36.72",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156137_424534_07042021074027_WEB.xml"
"Jubilant Industries Limited","74.96","25.04",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156138_424550_07042021080220_WEB.xml"
"Shalimar Paints Limited","53.1","46.91",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156139_424566_07042021082007_WEB.xml"
"PDS Multinational Fashions Limited","66.65","33.35",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156140_424577_07042021082637_WEB.xml"
"Housing Development Finance Corporation Limited","0","100",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156141_424593_07042021085613_WEB.xml"
"Aditya Birla Money Limited","73.8","26.2",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156143_424612_07042021103348_WEB.xml"
"Pioneer Embroideries Limited","32.86","67.14",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156144_424620_07042021112931_WEB.xml"
"Sumitomo Chemical India Limited","75","25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156145_424644_08042021092308_WEB.xml"
"Sonata Software Limited","28.17","70.64",,"1.19","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156148_424681_08042021102052_WEB.xml"
"Arman Financial Services Limited","27.46","72.54",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156150_424708_08042021105110_WEB.xml"
"Amrutanjan Health Care Limited","50.02","49.92",,"0.06","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156151_424719_08042021105847_WEB.xml"
"Oberoi Realty Limited","67.7","32.3",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156152_424728_08042021110234_WEB.xml"
"Zen Technologies Limited","60.19","39.81",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156154_424773_08042021113204_WEB.xml"
"Paramount Communications Limited","62.12","37.88",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156155_424780_08042021113315_WEB.xml"
"Mold-Tek Technologies Limited","49.25","50.75",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156156_424784_08042021113501_WEB.xml"
"The State Trading Corporation of India Limited","90","10",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156157_424787_08042021113646_WEB.xml"
"Affle (India) Limited","62.6","37.4",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156158_424794_08042021114024_WEB.xml"
"Persistent Systems Limited","31.29","66.07",,"2.64","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156159_424801_08042021114358_WEB.xml"
"ITI Limited","90.09","9.91",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156160_424809_08042021114559_WEB.xml"
"Raymond Limited","48.84","51.16",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156161_424815_08042021114715_WEB.xml"
"Lincoln Pharmaceuticals Limited","37.26","62.74",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156162_424817_08042021114741_WEB.xml"
"Euro India Fresh Foods Limited","73.5","26.5",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156163_424823_08042021115140_WEB.xml"
"Safari Industries (India) Limited","55.27","44.73",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156165_424837_08042021120054_WEB.xml"
"Menon Bearings Limited","71.25","28.75",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156166_424846_08042021120247_WEB.xml"
"Seamec Limited","71.96","28.04",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156167_424860_08042021121041_WEB.xml"
"Chemfab Alkalis Limited","73.74","26.26",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156168_424865_08042021121744_WEB.xml"
"Mold-Tek Packaging Limited","35.22","64.78",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156169_424867_08042021121749_WEB.xml"
"MAS Financial Services Limited","73.6","26.4",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156170_424872_08042021121852_WEB.xml"
"Rashtriya Chemicals and Fertilizers Limited","75","25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156171_424879_08042021122214_WEB.xml"
"Kitex Garments Limited","55.57","44.43",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156172_424888_08042021122536_WEB.xml"
"MIG Media Neurons Limited","99.45","0.55",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156173_424895_08042021122803_WEB.xml"
"Jtekt India Limited","75","25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156174_424909_08042021123328_WEB.xml"
"Alok Industries Limited","75","25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156175_424934_08042021124903_WEB.xml"
"Ester Industries Limited","64.04","35.96",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156176_424939_08042021125026_WEB.xml"
"Hester Biosciences Limited","53.73","46.27",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156177_424943_08042021125224_WEB.xml"
"Prism Johnson Limited","74.87","25.13",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156180_424967_08042021010554_WEB.xml"
"KPIT Technologies Limited","40.14","58",,"1.86","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156184_424996_08042021013711_WEB.xml"
"Gujarat Fluorochemicals Limited","68.37","31.63",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156185_425004_08042021014414_WEB.xml"
"Associated Alcohols & Breweries Ltd.","58.45","41.55",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156188_425016_08042021020446_WEB.xml"
"Srikalahasthi Pipes Limited","48.15","51.85",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156192_425052_08042021023103_WEB.xml"
"Mstc Limited","64.75","35.25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156194_425061_08042021023350_WEB.xml"
"Damodar Industries Limited","70.63","29.37",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156195_425066_08042021023447_WEB.xml"
"Hemisphere Properties India Limited","51.12","48.88",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156197_425075_08042021023835_WEB.xml"
"Krebs Biochemicals and Industries Limited","70.05","29.95",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156203_425143_08042021030812_WEB.xml"
"IPCA Laboratories Limited","46.29","53.71",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156204_425149_08042021030956_WEB.xml"
"Steel Strips Wheels Limited","62.77","37.23",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156205_425155_08042021031158_WEB.xml"
"TIPS Industries Limited","74.98","25.02",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156206_425157_08042021031204_WEB.xml"
"Tantia Constructions Limited","72.88","27.12",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156207_425163_08042021031502_WEB.xml"
"Ajanta Pharma Limited","70.34","29.66",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156208_425165_08042021031506_WEB.xml"
"Biofil Chemicals & Pharmaceuticals Limited","46.82","53.18",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156209_425190_08042021032250_WEB.xml"
"BGR Energy Systems Limited","75","25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156210_425194_08042021032516_WEB.xml"
"Control Print Limited","51.78","48.22",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156211_425197_08042021032606_WEB.xml"
"BIRLASOFT LIMITED","40.72","58.96",,"0.32","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156213_425212_08042021033144_WEB.xml"
"Genus Paper & Boards Limited","50.49","49.51",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156215_425232_08042021034249_WEB.xml"
"Mindpool Technologies Limited","71.27","28.73",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156216_425236_08042021034314_WEB.xml"
"Gayatri Projects Limited","44.72","55.28",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156217_425241_08042021034520_WEB.xml"
"Anant Raj Global Limited","65.56","34.44",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156218_425243_08042021034548_WEB.xml"
"Precot Limited","61.5","38.5",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156220_425285_08042021040404_WEB.xml"
"Sagar Cements Limited","50.28","49.72",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156223_425305_08042021041016_WEB.xml"
"VST Industries Limited","32.16","67.84",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156224_425314_08042021041227_WEB.xml"
"Weizmann Limited","69.01","30.99",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156226_425357_08042021042533_WEB.xml"
"Bcl Industries Limited","61.36","38.65",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156227_425370_08042021042843_WEB.xml"
"Aarvi Encon Limited","73.47","26.53",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156228_425381_08042021042954_WEB.xml"
"Ashiana Housing Limited","61.22","38.78",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156229_425389_08042021043106_WEB.xml"
"ANDHRA PAPER LIMITED","72.2","27.8",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156230_425398_08042021043339_WEB.xml"
"Nagarjuna Fertilizers and Chemicals Limited","57.13","42.87",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156231_425401_08042021043447_WEB.xml"
"Abhishek Corporation Limited","57.63","42.37",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156232_425411_08042021043758_WEB.xml"
"Indigo Paints Limited","54","46",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156234_425430_08042021044554_WEB.xml"
"Genus Power Infrastructures Limited","50.47","49.53",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156236_425460_08042021045534_WEB.xml"
"Coffee Day Enterprises Limited","15.23","84.77",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156237_425483_08042021045822_WEB.xml"
"Mahickra Chemicals Limited","49.82","50.18",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156238_425494_08042021050104_WEB.xml"
"Havells India Limited","59.5","40.5",,"0.01","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156240_425513_08042021050423_WEB.xml"
"D P Wires Limited","70.37","29.62",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156243_425563_08042021051733_WEB.xml"
"Butterfly Gandhimathi Appliances Limited","64.78","35.22",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156244_425579_08042021052021_WEB.xml"
"Crown Lifters Limited","73.49","26.51",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156245_425588_08042021052201_WEB.xml"
"Orient Electric Limited","38.52","61.48",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156247_425598_08042021052431_WEB.xml"
"Crest Ventures Limited","65.83","34.17",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156248_425617_08042021052952_WEB.xml"
"Asian Hotels (North) Limited","57.98","42.02",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156249_425638_08042021053713_WEB.xml"
"TCI Developers Limited","70.13","29.87",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156250_425640_08042021053805_WEB.xml"
"ARSS Infrastructure Projects Limited","46.7","53.3",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156252_425672_08042021054702_WEB.xml"
"Omfurn India Limited","73.4","26.6",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156254_425742_08042021061454_WEB.xml"
"Tirupati Forge Limited","58.03","41.97",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156255_425760_08042021062550_WEB.xml"
"Century Plyboards (India) Limited","73.05","26.95",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156256_425763_08042021062658_WEB.xml"
"D. P. Abhushan Limited","74.73","25.28",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156258_425774_08042021063310_WEB.xml"
"Aakash Exploration Services Limited","73.33","26.66",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156259_425790_08042021064123_WEB.xml"
"Sicagen India Limited","39.85","60.15",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156261_425807_08042021065944_WEB.xml"
"Dish TV India Limited","7.3","92.7",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156262_425812_08042021070159_WEB.xml"
"Gokaldas Exports Limited","33.12","66.88",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156263_425814_08042021070202_WEB.xml"
"South West Pinnacle Exploration Limited","74.68","25.32",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156264_425817_08042021071112_WEB.xml"
"Bharat Electronics Limited","51.14","48.86",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156265_425822_08042021071715_WEB.xml"
"The Karnataka Bank Limited","0","100",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156266_425833_08042021072518_WEB.xml"
"Cadila Healthcare Limited","74.88","25.12",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156267_425836_08042021072715_WEB.xml"
