"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES UNDERLYING DRS (C1)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","AS ON DATE","ACTION"
"Rossell India Limited","74.91","25.09",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156823_432312_13042021070710_WEB.xml"
"Jagran Prakashan Limited","65.78","34.22",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156825_432324_13042021071313_WEB.xml"
"Mastek Limited","44.32","55.68",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156828_432360_13042021074226_WEB.xml"
"Panache Digilife Limited","65.49","34.51",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156830_432416_13042021084148_WEB.xml"
"Moksh Ornaments Limited","74.73","25.27",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156831_432421_13042021084309_WEB.xml"
"Emkay Global Financial Services Limited","74.55","25.45",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156832_432448_13042021091852_WEB.xml"
"Hero MotoCorp Limited","34.76","65.24",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156833_432462_13042021093949_WEB.xml"
"Aster DM Healthcare Limited","37.88","61.62",,"0.5","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156834_432501_13042021104517_WEB.xml"
"ADF Foods Limited","31.42","68.58",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156835_432505_13042021104728_WEB.xml"
"Indiamart Intermesh Limited","49.85","49.99",,"0.16","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156837_432519_13042021111804_WEB.xml"
