"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","BROADCAST DATE"
" Ashiana Housing Limited","102352099","62658716","    61.22","39693383","0","     0.00","     0.00","09-Apr-2021 11:30:32","1620438","99891643","1.62","09-Apr-2021 11:30:32"
"20 Microns Limited","35286502","15819019","    44.83","19467483","8500547","    53.74","    24.09","09-Apr-2021 11:30:29","11302169","35157864","32.15","09-Apr-2021 11:30:29"
"21st Century Management Services Limited","10500000","6365957","    60.63","4134043","0","     0.00","     0.00","09-Apr-2021 11:30:13","82893","9459516","0.88","09-Apr-2021 11:30:13"
"3M India Limited","11265070","8448802","    75.00","2816268","0","     0.00","     0.00","09-Apr-2021 11:30:14","141639","11207153","1.26","09-Apr-2021 11:30:14"
"3P Land Holdings Limited","18000000","13175193","    73.20","4824807","0","     0.00","     0.00","09-Apr-2021 11:30:11","94122","17658160","0.53","09-Apr-2021 11:30:11"
"3i Infotech Limited","1616654866","0","     0.00","1616654866","0",,"     0.00","09-Apr-2021 11:30:22","49907972","1610048115","3.1","09-Apr-2021 11:30:22"
"63 moons technologies limited","46078537","21025878","    45.63","25052659","0","     0.00","     0.00","09-Apr-2021 11:30:22","974288","46012270","2.12","09-Apr-2021 11:30:22"
"A2Z Infra Engineering Limited","176119858","49560983","    28.14","126558875","49550601","    99.98","    28.13","09-Apr-2021 11:30:31","57085751","176114915","32.41","09-Apr-2021 11:30:31"
"ABB India Limited","211908375","158931281","    75.00","52977094","0","     0.00","     0.00","09-Apr-2021 11:30:11","618165","210430769","0.29","09-Apr-2021 11:30:11"
"ACC Limited","187787263","102395120","    54.53","85392143","0","     0.00","     0.00","09-Apr-2021 11:30:06","740513","184833527","0.4","09-Apr-2021 11:30:06"
"ADF Foods Limited","20022719","6295735","    31.44","13726984","0","     0.00","     0.00","09-Apr-2021 11:30:31","4484600","19371868","23.15","09-Apr-2021 11:30:31"
"AGC Networks Limited","29820103","20554952","    68.93","9265151","2132035","    10.37","     7.15","09-Apr-2021 11:30:09","2308787","29584217","7.8","09-Apr-2021 11:30:09"
"AIA Engineering Limited","94320370","55148921","    58.47","39171449","0","     0.00","     0.00","09-Apr-2021 11:30:23","167410","94320240","0.18","09-Apr-2021 11:30:23"
"AMD Industries Limited","19166749","12773523","    66.64","6393226","0","     0.00","     0.00","09-Apr-2021 11:30:26","167291","19166651","0.87","09-Apr-2021 11:30:26"
"ANDHRA PAPER LIMITED","39770039","28713400","    72.20","11056639","20282720","    70.64","    51.00","09-Apr-2021 11:30:14","21057937","39586306","53.2","09-Apr-2021 11:30:14"
"APL Apollo Tubes Limited","124784125","49251935","    39.47","75532190","0","     0.00","     0.00","09-Apr-2021 11:30:32","2109679","124895990","1.69","09-Apr-2021 11:30:32"
"ARSS Infrastructure Projects Limited","22737966","10619468","    46.70","12118498","2646648","    24.92","    11.64","09-Apr-2021 11:30:30","4040821","22725239","17.78","09-Apr-2021 11:30:30"
"ATN International Limited","39450000","65444","     0.17","39384556","0","     0.00","     0.00","09-Apr-2021 11:30:24","276364","36530014","0.76","09-Apr-2021 11:30:24"
"AU Small Finance Bank Limited","306758558","88899206","    28.98","217859352","0","     0.00","     0.00","09-Apr-2021 11:30:34","5656253","312213390","1.81","09-Apr-2021 11:30:34"
"AVT Natural Products Limited","152284000","114155975","    74.96","38128025","0","     0.00","     0.00","09-Apr-2021 11:30:25","1535559","146323922","1.05","09-Apr-2021 11:30:25"
"AXISCADES Technologies Limited","37759530","25656547","    67.95","12102983","17473900","    68.11","    46.28","09-Apr-2021 11:30:19","18566611","37720085","49.22","09-Apr-2021 11:30:19"
"Aarti Drugs Limited","93200000","56102800","    60.20","37097200","0","     0.00","     0.00","09-Apr-2021 11:30:16","2705159","91919622","2.94","09-Apr-2021 11:30:16"
"Aarti Industries Limited","174234474","82478200","    47.34","91756274","0","     0.00","     0.00","09-Apr-2021 11:30:14","3729736","172963254","2.16","09-Apr-2021 11:30:14"
"Aarvee Denims & Exports Limited","23459800","15436303","    65.80","8023497","7872515","    51.00","    33.56","09-Apr-2021 11:30:25","7978269","23026087","34.65","09-Apr-2021 11:30:25"
"Aban Offshore Limited","58365323","26846160","    46.00","31519163","5200000","    19.37","     8.91","09-Apr-2021 11:30:11","6819359","58110235","11.74","09-Apr-2021 11:30:11"
"Abhishek Corporation Limited","16008462","9225416","    57.63","6783046","8164316","    88.50","    51.00","09-Apr-2021 11:30:26","8180579","16007902","51.1","09-Apr-2021 11:30:26"
"Accelya Solutions India Limited","14926261","13325058","    89.27","1601203","0","     0.00","     0.00","09-Apr-2021 11:30:18","70608","14841076","0.48","09-Apr-2021 11:30:18"
"Action Construction Equipment Limited","113483196","82997463","    73.14","30485733","0","     0.00","     0.00","09-Apr-2021 11:30:25","3112260","113451169","2.74","09-Apr-2021 11:30:25"
"Adani Enterprises Limited","1099810083","823963481","    74.92","275846602","136807649","    16.60","    12.44","09-Apr-2021 11:30:09","56204519","1099558525","5.11","09-Apr-2021 11:30:09"
"Adani Green Energy Limited","1564014280","1171710710","    74.92","392303570","61873504","     5.28","     3.96","09-Apr-2021 11:30:35","9175585","1563827937","0.59","09-Apr-2021 11:30:35"
"Adani Ports and Special Economic Zone Limited","2031751761","1294991018","    63.74","736760743","494056389","    38.15","    24.32","09-Apr-2021 11:30:28","217618970","2031402976","10.71","09-Apr-2021 11:30:28"
"Adani Power Limited","3856938941","2891612567","    74.97","965326374","844725587","    29.21","    21.90","09-Apr-2021 11:30:29","415545391","3856447166","10.78","09-Apr-2021 11:30:29"
"Adani Transmission Limited","1099810083","823963481","    74.92","275846602","228805142","    27.77","    20.80","09-Apr-2021 11:30:34","100435720","1099541210","9.13","09-Apr-2021 11:30:34"
"Adhunik Industries Limited","46763750","35054800","    74.96","11708950","23849513","    68.03","    51.00","09-Apr-2021 11:30:34","24202261","46763749","51.75","09-Apr-2021 11:30:34"
"Aditya Birla Capital Limited","2415003731","1701288195","    70.45","713715536","0","     0.00","     0.00","09-Apr-2021 11:30:35","35074831","2384574503","1.47","09-Apr-2021 11:30:35"
"Aditya Birla Fashion and Retail Limited","864664507","521219027","    60.28","343445480","0","     0.00","     0.00","09-Apr-2021 11:30:33","5946392","838777024","0.71","09-Apr-2021 11:30:33"
"Aditya Birla Money Limited","56301357","41550000","    73.80","14751357","0","     0.00","     0.00","09-Apr-2021 11:30:28","970426","55355511","1.75","09-Apr-2021 11:30:28"
"Ador Welding Limited","13598467","7730140","    56.85","5868327","0","     0.00","     0.00","09-Apr-2021 11:30:08","116449","13131096","0.89","09-Apr-2021 11:30:08"
"Advanced Enzyme Technologies Limited","111723925","61887736","    55.39","49836189",,,,"09-Apr-2021 11:30:34","1230182","111229710","1.11","09-Apr-2021 11:30:34"
"Advani Hotels & Resorts (India) Limited","46219250","23190102","    50.17","23029148","0","     0.00","     0.00","09-Apr-2021 11:30:10","170928","45428335","0.38","09-Apr-2021 11:30:10"
"Aegis Logistics Limited","345333334","202676008","    58.69","142657326","0","     0.00","     0.00","09-Apr-2021 11:30:08","3157081","346045588","0.91","09-Apr-2021 11:30:08"
"Agarwal Industrial Corporation Limited","10258747","6086392","    59.33","4172355","0","     0.00","     0.00","09-Apr-2021 11:30:33","394717","10248742","3.85","09-Apr-2021 11:30:33"
"Agri-Tech (India) Limited","5940000","2700795","    45.47","3239205","0","     0.00","     0.00","09-Apr-2021 11:30:33","94566","5639895","1.68","09-Apr-2021 11:30:33"
"Agro Phos India Limited","20274115","11002425","    54.27","9271690","1000000","     9.09","     4.93","09-Apr-2021 11:30:34","251769","19799055","1.27","09-Apr-2021 11:30:34"
"Agro Tech Foods Limited","24369264","13301013","    54.58","11068251","0","     0.00","     0.00","09-Apr-2021 11:30:08","907289","24177490","3.75","09-Apr-2021 11:30:08"
"Ahluwalia Contracts (India) Limited","66987560","38855977","    58.00","28131583","10594000","    27.26","    15.81","09-Apr-2021 11:30:30","10797013","66922895","16.13","09-Apr-2021 11:30:30"
"Ajanta Pharma Limited","86531770","60869823","    70.34","25661947","9428355","    15.49","    10.90","09-Apr-2021 11:30:19","10267826","86309644","11.9","09-Apr-2021 11:30:19"
"Ajmera Realty & Infra India Limited","35484875","24745223","    69.73","10739652","1950000","     7.88","     5.50","09-Apr-2021 11:30:29","3002131","35441786","8.47","09-Apr-2021 11:30:29"
"Aksh Optifibre Limited","162697971","45470335","    27.95","117227636","0","     0.00","     0.00","09-Apr-2021 11:30:19","6284806","162203501","3.87","09-Apr-2021 11:30:19"
"Akzo Nobel India Limited","45540314","34044335","    74.76","11495979","0","     0.00","     0.00","09-Apr-2021 11:30:15","251229","44973052","0.56","09-Apr-2021 11:30:15"
"Alankit Limited","142958100","101966776","    71.33","40991324","0","     0.00","     0.00","09-Apr-2021 11:30:34","2606993","141767460","1.84","09-Apr-2021 11:30:34"
"Alchemist Limited","13559800","4738341","    34.94","8821459",,,,"09-Apr-2021 11:30:27","206083","12932702","1.59","09-Apr-2021 11:30:27"
"Alembic Limited","256781828","182010877","    70.88","74770951","0","     0.00","     0.00","09-Apr-2021 11:30:18","5009710","252938662","1.98","09-Apr-2021 11:30:18"
"Alembic Pharmaceuticals Limited","196563124","136567012","    69.48","59996112","0","     0.00","     0.00","09-Apr-2021 11:30:32","1683502","194810593","0.86","09-Apr-2021 11:30:32"
"Alicon Castalloy Limited","13910121","8709938","    62.62","5200183","0","     0.00","     0.00","09-Apr-2021 11:30:25","367326","13861099","2.65","09-Apr-2021 11:30:25"
"Alkali Metals Limited","10182506","7090842","    69.64","3091664","2130000","    30.04","    20.92","09-Apr-2021 11:30:29","2260388","10181996","22.2","09-Apr-2021 11:30:29"
"Alkyl Amines Chemicals Limited","20412711","15132788","    74.13","5279923","0","     0.00","     0.00","09-Apr-2021 11:30:17","185273","20057005","0.92","09-Apr-2021 11:30:17"
"Allcargo Logistics Limited","245695524","172022209","    70.01","73673315","0","     0.00","     0.00","09-Apr-2021 11:30:24","7331598","245628234","2.98","09-Apr-2021 11:30:24"
"Allied Digital Services Limited","50205528","24825286","    49.45","25380242","0","     0.00","     0.00","09-Apr-2021 11:30:27","1086913","48665422","2.23","09-Apr-2021 11:30:27"
"Allsec Technologies Limited","15238526","11182912","    73.39","4055614","0","     0.00","     0.00","09-Apr-2021 11:30:22","1305510","15238232","8.57","09-Apr-2021 11:30:22"
"Almondz Global Securities Limited","25884967","15001190","    57.95","10883777","0","     0.00","     0.00","09-Apr-2021 11:30:29","267841","25752179","1.04","09-Apr-2021 11:30:29"
"Alok Industries Limited","4965240401","3723845177","    75.00","1241395224","0","     0.00","     0.00","09-Apr-2021 11:30:35","71987595","4963011826","1.45","09-Apr-2021 11:30:35"
"Alpa Laboratories Limited","21040600","11922210","    56.66","9118390","0","     0.00","     0.00","09-Apr-2021 11:30:27","543975","21035395","2.59","09-Apr-2021 11:30:27"
"Alphageo (India) Limited","6364767","2941092","    46.21","3423675","280534","     9.54","     4.41","09-Apr-2021 11:30:27","486905","6279629","7.75","09-Apr-2021 11:30:27"
"Alps Industries Limited","39114100","10586018","    27.06","28528082","4019018","    37.97","    10.28","09-Apr-2021 11:30:16","4627469","39042946","11.85","09-Apr-2021 11:30:16"
"Amara Raja Batteries Limited","170812500","47932452","    28.06","122880048","0","     0.00","     0.00","09-Apr-2021 11:30:09","1249024","167981678","0.74","09-Apr-2021 11:30:09"
"Ambica Agarbathies & Aroma industries Limited","17177400","8304827","    48.35","8872573","0","     0.00","     0.00","09-Apr-2021 11:30:21","53140","14193381","0.37","09-Apr-2021 11:30:21"
"Ambika Cotton Mills Limited","5725000","2872350","    50.17","2852650","0","     0.00","     0.00","09-Apr-2021 11:30:28","255430","5692491","4.49","09-Apr-2021 11:30:28"
"Ambuja Cements Limited","1985645229","1258895223","    63.40","726750006","0","     0.00","     0.00","09-Apr-2021 11:30:15","5320275","1973979696","0.27","09-Apr-2021 11:30:15"
"Amit Spinning Industries Limited","41169667","20981077","    50.96","20188590","8233934","    39.24","    20.00","09-Apr-2021 11:30:23","8233934","39142447","21.04","09-Apr-2021 11:30:23"
"Amj Land Holdings Limited","41000000","27020005","    65.90","13979995","0","     0.00","     0.00","09-Apr-2021 11:30:14","331706","40294875","0.82","09-Apr-2021 11:30:14"
"Amrutanjan Health Care Limited","29230630","14639527","    50.08","14591103","0","     0.00","     0.00","09-Apr-2021 11:30:29","621731","28141676","2.21","09-Apr-2021 11:30:29"
"Amtek Auto Limited","248255428","130080919","    52.40","118174509","0","     0.00","     0.00","09-Apr-2021 11:30:10","4869894","247968329","1.96","09-Apr-2021 11:30:10"
"Anant Raj Limited","295096335","191920008","    65.04","103176327","0","     0.00","     0.00","09-Apr-2021 11:30:25","7888453","293852701","2.68","09-Apr-2021 11:30:25"
"Andhra Cements Limited","293520492","201926406","    68.79","91594086","151444805","    75.00","    51.60","09-Apr-2021 11:30:31","153358204","284904439","53.83","09-Apr-2021 11:30:31"
"Anik Industries Limited","27753486","13372516","    48.18","14380970","0","     0.00","     0.00","09-Apr-2021 11:30:10","498097","22140827","2.25","09-Apr-2021 11:30:10"
"Ankit Metal & Power Limited","141110500","100215000","    71.02","40895500","100215000","   100.00","    71.02","09-Apr-2021 11:30:33","101199563","141108559","71.72","09-Apr-2021 11:30:33"
"Ansal Housing Limited","59385828","31457930","    52.97","27927898","24303990","    77.26","    40.93","09-Apr-2021 11:30:25","25273209","58155365","43.46","09-Apr-2021 11:30:25"
"Ansal Properties & Infrastructure Limited","157404876","76768484","    48.77","80636392","57883663","    75.40","    36.77","09-Apr-2021 11:30:08","64568607","156789391","41.18","09-Apr-2021 11:30:08"
"Antarctica Limited","155009600","47717296","    30.78","107292304","0","     0.00","     0.00","09-Apr-2021 11:30:18","815751","104505195","0.78","09-Apr-2021 11:30:18"
"Apar Industries Limited","38268619","22885064","    59.80","15383555",,,,"09-Apr-2021 11:30:21","816312","38145567","2.14","09-Apr-2021 11:30:21"
"Apcotex Industries Limited","51844960","30157617","    58.17","21687343","0","     0.00","     0.00","09-Apr-2021 11:30:10","1383953","49766035","2.78","09-Apr-2021 11:30:10"
"Apollo Hospitals Enterprise Limited","139125159","42875002","    30.82","96250157","12922350","    30.14","     9.29","09-Apr-2021 11:30:09","12340036","141682795","8.71","09-Apr-2021 11:30:09"
"Apollo Micro Systems Limited","20763886","13276700","    63.94","7487186","800000","     6.03","     3.85","09-Apr-2021 11:30:35","1469962","20753878","7.08","09-Apr-2021 11:30:35"
"Apollo Pipes Limited","13109402","6921400","    52.80","6188002","0","     0.00","     0.00","09-Apr-2021 11:30:35","786950","13101752","6.01","09-Apr-2021 11:30:35"
"Apollo Sindoori Hotels Limited","2600400","1681882","    64.68","918518","0","     0.00","     0.00","09-Apr-2021 11:30:33","18654","2470498","0.76","09-Apr-2021 11:30:33"
"Apollo Tyres Limited","635100946","238858831","    37.61","396242115","33240080","    13.92","     5.23","09-Apr-2021 11:30:12","17024183","627070156","2.71","09-Apr-2021 11:30:12"
"Aptech Limited","40566247","19717540","    48.61","20848707","0","     0.00","     0.00","09-Apr-2021 11:30:20","3447288","40253933","8.56","09-Apr-2021 11:30:20"
"Archidply Industries Limited","22065000","16034645","    72.67","6030355","0","     0.00","     0.00","09-Apr-2021 11:30:29","431197","19794825","2.18","09-Apr-2021 11:30:29"
"Archies Limited","33780000","21007477","    62.19","12772523","0","     0.00","     0.00","09-Apr-2021 11:30:18","855225","33606661","2.54","09-Apr-2021 11:30:18"
"Arcotech Limited","105000000","41960144","    39.96","63039856","19154794","    45.65","    18.24","09-Apr-2021 11:30:33","20383865","103661220","19.66","09-Apr-2021 11:30:33"
"Aries Agro Limited","13004339","6847926","    52.66","6156413","0","     0.00","     0.00","09-Apr-2021 11:30:28","419415","12900588","3.25","09-Apr-2021 11:30:28"
"Arihant Foundations & Housing Limited","8600000","3686700","    42.87","4913300","0","     0.00","     0.00","09-Apr-2021 11:30:25","134840","7226420","1.87","09-Apr-2021 11:30:25"
"Aro Granite Industries Limited","15300000","6282856","    41.06","9017144","0","     0.00","     0.00","09-Apr-2021 11:30:26","163982","14973604","1.1","09-Apr-2021 11:30:26"
"Arshiya Limited","258075915","126916225","    49.18","131159690","126916225","   100.00","    49.18","09-Apr-2021 11:30:30","128829531","257555039","50.02","09-Apr-2021 11:30:30"
"Arvind Fashions Limited","98685711","38618875","    39.13","60066836","0","     0.00","     0.00","09-Apr-2021 11:30:35","5312722","98164043","5.41","09-Apr-2021 11:30:35"
"Arvind Limited","258924069","116656302","    45.05","142267767","455000","     0.39","     0.18","09-Apr-2021 11:30:06","9025303","257032086","3.51","09-Apr-2021 11:30:06"
"Arvind SmartSpaces Limited","35553550","20856920","    58.66","14696630","45500","     0.22","     0.13","09-Apr-2021 11:30:34","1298978","35293610","3.68","09-Apr-2021 11:30:34"
"Asahi India Glass Limited","243089931","131921528","    54.27","111168403","14074008","    10.67","     5.79","09-Apr-2021 11:30:18","17883991","239797461","7.46","09-Apr-2021 11:30:18"
"Asahi Songwon Colors Limited","12272262","7926307","    64.59","4345955","0","     0.00","     0.00","09-Apr-2021 11:30:32","200589","12025163","1.67","09-Apr-2021 11:30:32"
"Ashapura Intimates Fashion Limited","25211406","3720692","    14.76","21490714","1924631","    51.73","     7.63","09-Apr-2021 11:30:34","2516468","25184590","9.99","09-Apr-2021 11:30:34"
"Ashapura Minechem Limited","86986098","35481685","    40.79","51504413","22740174","    64.09","    26.14","09-Apr-2021 11:30:15","25069257","86725855","28.91","09-Apr-2021 11:30:15"
"Ashima Limited","191660078","140842835","    73.49","50817243","0","     0.00","     0.00","09-Apr-2021 11:30:09","2832434","190358446","1.49","09-Apr-2021 11:30:09"
"Ashok Leyland Limited","2935527276","1524618261","    51.94","1410909015","163200000","    10.70","     5.56","09-Apr-2021 11:30:06","293332900","2923278775","10.03","09-Apr-2021 11:30:06"
"Ashoka Buildcon Limited","280723217","152940177","    54.48","127783040","0","     0.00","     0.00","09-Apr-2021 11:30:31","7884511","280723210","2.81","09-Apr-2021 11:30:31"
"Asian Granito India Limited","30937446","10524904","    34.02","20412542","1584100","    15.05","     5.12","09-Apr-2021 11:30:27","3365876","30936963","10.88","09-Apr-2021 11:30:27"
"Asian Hotels (East) Limited","11527797","7566120","    65.63","3961677","0","     0.00","     0.00","09-Apr-2021 11:30:31","193615","11351150","1.71","09-Apr-2021 11:30:31"
"Asian Hotels (North) Limited","19453229","11279616","    57.98","8173613","11248016","    99.72","    57.82","09-Apr-2021 11:30:30","1538060","19297885","7.97","09-Apr-2021 11:30:30"
"Asian Paints Limited","959197790","506384654","    52.79","452813136","54045853","    10.67","     5.63","09-Apr-2021 11:30:08","53733053","952098522","5.64","09-Apr-2021 11:30:08"
"Astec LifeSciences Limited","19578355","12771530","    65.23","6806825","0","     0.00","     0.00","09-Apr-2021 11:30:30","1175514","19587049","6","09-Apr-2021 11:30:30"
"Astra Microwave Products Limited","86611675","8486174","     9.80","78125501","0","     0.00","     0.00","09-Apr-2021 11:30:22","9125198","86119340","10.6","09-Apr-2021 11:30:22"
"AstraZeneca Pharma India Limited","25000000","18750000","    75.00","6250000","0","     0.00","     0.00","09-Apr-2021 11:30:18","580232","24811220","2.34","09-Apr-2021 11:30:18"
"Astral Poly Technik Limited","150680826","83982322","    55.74","66698504","0","     0.00","     0.00","09-Apr-2021 11:30:26","1813477","200896289","0.9","09-Apr-2021 11:30:26"
"Astron Paper & Board Mill Limited","46500000","21358250","    45.93","25141750","0","     0.00","     0.00","09-Apr-2021 11:30:35","4779464","46499690","10.28","09-Apr-2021 11:30:35"
"Atcom Technologies Limited","15340000","2163600","    14.10","13176400","1371500","    63.39","     8.94","09-Apr-2021 11:30:15","1497589","14165039","10.57","09-Apr-2021 11:30:15"
"Atlanta  Limited","81500000","50748922","    62.27","30751078","34032116","    67.06","    41.76","09-Apr-2021 11:30:25","34860855","81499980","42.77","09-Apr-2021 11:30:25"
"Atlas Cycles (Haryana) Limited","6503838","2739500","    42.12","3764338","0","     0.00","     0.00","09-Apr-2021 11:30:17","156787","6215974","2.52","09-Apr-2021 11:30:17"
"Atul Limited","29661733","13294397","    44.82","16367336","200000","     1.50","     0.67","09-Apr-2021 11:30:06","643324","29172006","2.21","09-Apr-2021 11:30:06"
"Aurionpro Solutions Limited","22800165","6588597","    28.90","16211568","4190000","    63.59","    18.38","09-Apr-2021 11:30:23","5061164","22155204","22.84","09-Apr-2021 11:30:23"
"Aurobindo Pharma Limited","585938609","304315471","    51.94","281623138","28224000","     9.27","     4.82","09-Apr-2021 11:30:13","74107996","584703696","12.67","09-Apr-2021 11:30:13"
"Ausom Enterprise Limited","13623552","10040000","    73.70","3583552","0","     0.00","     0.00","09-Apr-2021 11:30:16","33242","12696429","0.26","09-Apr-2021 11:30:16"
"Austral Coke & Projects Limited","290296040","60573004","    20.87","229723036","0","     0.00","     0.00","09-Apr-2021 11:30:29","2346890","290289471","0.81","09-Apr-2021 11:30:29"
"Autoline Industries Limited","30963164","9261258","    29.91","21701906","1234000","    13.32","     3.99","09-Apr-2021 11:30:25","1982036","30856509","6.42","09-Apr-2021 11:30:25"
"Autolite (India) Limited","11181241","6053649","    54.14","5127592","0","     0.00","     0.00","09-Apr-2021 11:30:15","533855","10743230","4.97","09-Apr-2021 11:30:15"
"Automotive Axles Limited","15111975","10735081","    71.04","4376894","0","     0.00","     0.00","09-Apr-2021 11:30:16","285104","15051086","1.89","09-Apr-2021 11:30:16"
"Automotive Stampings and Assemblies Limited","15864397","11898296","    75.00","3966101","0","     0.00","     0.00","09-Apr-2021 11:30:20","115234","15838899","0.73","09-Apr-2021 11:30:20"
"Avadh Sugar & Energy Limited","20018420","12081672","    60.35","7936748","2879682","    23.84","    14.39","09-Apr-2021 11:30:34","3594926","19853708","18.11","09-Apr-2021 11:30:34"
"Avanti Feeds Limited","136245630","59523349","    43.69","76722281","0","     0.00","     0.00","09-Apr-2021 11:30:34","2959699","134927774","2.19","09-Apr-2021 11:30:34"
"Axis Bank Limited","3063748652","481623598","    15.72","2582125054","0","     0.00","     0.00","09-Apr-2021 11:30:18","27863438","3059604256","0.91","09-Apr-2021 11:30:18"
"B. L. Kashyap and Sons Limited","225440000","138686533","    61.52","86753467","138233158","    99.67","    61.32","09-Apr-2021 11:30:24","144611669","225432899","64.15","09-Apr-2021 11:30:24"
"B.A.G Films and Media Limited","197918090","92748182","    46.86","105169908","0","     0.00","     0.00","09-Apr-2021 11:30:21","1409213","197463796","0.71","09-Apr-2021 11:30:21"
"BASF India Limited","43285640","31743220","    73.33","11542420","0","     0.00","     0.00","09-Apr-2021 11:30:06","1208043","42885323","2.82","09-Apr-2021 11:30:06"
"BEML Limited","41644500","22500000","    54.03","19144500","0","     0.00","     0.00","09-Apr-2021 11:30:08","2852545","41541507","6.87","09-Apr-2021 11:30:08"
"BF Investment Limited","37667628","27640976","    73.38","10026652","0","     0.00","     0.00","09-Apr-2021 11:30:31","243600","37038875","0.66","09-Apr-2021 11:30:31"
"BF Utilities Limited","37667628","21090015","    55.99","16577613","0","     0.00","     0.00","09-Apr-2021 11:30:26","2105180","37054679","5.68","09-Apr-2021 11:30:26"
"BGR Energy Systems Limited","72161560","54121170","    75.00","18040390","0","     0.00","     0.00","09-Apr-2021 11:30:28","1252468","72161043","1.74","09-Apr-2021 11:30:28"
"BIRLASOFT LIMITED","277286094","113790335","    41.04","163495759","0","     0.00","     0.00","09-Apr-2021 11:30:18","6871472","276447558","2.49","09-Apr-2021 11:30:18"
"BLB Limited","52865258","36443003","    68.94","16422255","0","     0.00","     0.00","09-Apr-2021 11:30:19","146119","52798379","0.28","09-Apr-2021 11:30:19"
"BSEL Infrastructure Realty Limited","82616840","15285304","    18.50","67331536",,,,"09-Apr-2021 11:30:19","2049052","82521477","2.48","09-Apr-2021 11:30:19"
"BSL Limited","10292168","5809072","    56.44","4483096","0","     0.00","     0.00","09-Apr-2021 11:30:10","161027","9846728","1.64","09-Apr-2021 11:30:10"
"Bafna Pharmaceuticals Limited","23656335","21915212","    92.64","1741123","318254","     1.45","     1.35","09-Apr-2021 11:30:35","425051","23648295","1.8","09-Apr-2021 11:30:35"
"Bajaj Auto Limited","289367020","155389904","    53.70","133977116","13822","     0.01","     0.00","09-Apr-2021 11:30:29","2142215","272355461","0.79","09-Apr-2021 11:30:29"
"Bajaj Consumer Care Limited","147540159","56125000","    38.04","91415159","0","     0.00","     0.00","09-Apr-2021 11:30:31","3786280","147537683","2.57","09-Apr-2021 11:30:31"
"Bajaj Electricals Limited","114422184","72342278","    63.22","42079906","0","     0.00","     0.00","09-Apr-2021 11:30:27","430572","112922084","0.38","09-Apr-2021 11:30:27"
"Bajaj Finance Limited","602587339","339190759","    56.29","263396580","0","     0.00","     0.00","09-Apr-2021 11:30:15","6184913","601790369","1.03","09-Apr-2021 11:30:15"
"Bajaj Finserv Limited","159137444","97041212","    60.98","62096232","10036","     0.01","     0.01","09-Apr-2021 11:30:29","1456346","149838923","0.97","09-Apr-2021 11:30:29"
"Bajaj Hindusthan Sugar Limited","1133559942","176723422","    15.59","956836520","174943422","    98.99","    15.43","09-Apr-2021 11:30:09","212785116","1132719265","18.79","09-Apr-2021 11:30:09"
"Bajaj Holdings & Investment Limited","111293510","55596367","    49.95","55697143","0","     0.00","     0.00","09-Apr-2021 11:30:06","1333259","102588526","1.3","09-Apr-2021 11:30:06"
"Bal Pharma Limited","14172372","6016482","    42.45","8155890","0","     0.00","     0.00","09-Apr-2021 11:30:24","189176","14024046","1.35","09-Apr-2021 11:30:24"
"Balaji Amines Limited","32401000","17398540","    53.70","15002460","0","     0.00","     0.00","09-Apr-2021 11:30:26","940684","32050910","2.93","09-Apr-2021 11:30:26"
"Balaji Telefilms Limited","101130443","34732876","    34.34","66397567","0","     0.00","     0.00","09-Apr-2021 11:30:19","3981119","101125905","3.94","09-Apr-2021 11:30:19"
"Balkrishna Industries Limited","193317190","112696020","    58.30","80621170","0","     0.00","     0.00","09-Apr-2021 11:30:09","1157472","192501567","0.6","09-Apr-2021 11:30:09"
"Ballarpur Industries Limited","1293455756","34614158","     2.68","1258841598","33292510","    96.18","     2.57","09-Apr-2021 11:30:28","59879666","1285556897","4.66","09-Apr-2021 11:30:28"
"Balmer Lawrie & Company Limited","171003846","0","     0.00","171003846","0",,"     0.00","09-Apr-2021 11:30:08","5293269","169010681","3.13","09-Apr-2021 11:30:08"
"Balrampur Chini Mills Limited","210000000","86545753","    41.21","123454247","0","     0.00","     0.00","09-Apr-2021 11:30:08","5444438","209182145","2.6","09-Apr-2021 11:30:08"
"Banaras Beads Limited","6636222","3835592","    57.80","2800630","0","     0.00","     0.00","09-Apr-2021 11:30:13","45443","6362787","0.71","09-Apr-2021 11:30:13"
"Banco Products (I) Limited","71518650","48549992","    67.88","22968658","0","     0.00","     0.00","09-Apr-2021 11:30:12","1875927","70684230","2.65","09-Apr-2021 11:30:12"
"Bang Overseas Limited","13560000","9896384","    72.98","3663616","0","     0.00","     0.00","09-Apr-2021 11:30:28","226024","13438135","1.68","09-Apr-2021 11:30:28"
