"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","BROADCAST DATE"
"Tci Finance Limited","12872493","3182360","    24.72","9690133",,,,"09-Apr-2021 11:30:17","435339","11811173","3.69","09-Apr-2021 11:30:17"
"Teamlease Services Limited","17096769","5833190","    34.12","11263579","84050","     1.44","     0.49","09-Apr-2021 11:30:34","130940","17095718","0.77","09-Apr-2021 11:30:34"
"Tech Mahindra Limited","967423190","346291457","    35.80","621131733","0","     0.00","     0.00","09-Apr-2021 11:30:24","9183834","966870641","0.95","09-Apr-2021 11:30:24"
"Techindia Nirman Limited","14326000","4860313","    33.93","9465687","0","     0.00","     0.00","09-Apr-2021 11:30:32","320751","13429969","2.39","09-Apr-2021 11:30:32"
"Technocraft Industries (India) Limited","24461687","18267348","    74.68","6194339","0","     0.00","     0.00","09-Apr-2021 11:30:26","543718","24459951","2.22","09-Apr-2021 11:30:26"
"Technofab Engineering Limited","10490000","5058026","    48.22","5431974","1221405","    24.15","    11.64","09-Apr-2021 11:30:30","1263578","10489993","12.05","09-Apr-2021 11:30:30"
"Tera Software Limited","12511875","6010651","    48.04","6501224","3082420","    51.28","    24.64","09-Apr-2021 11:30:34","1321648","12450984","10.61","09-Apr-2021 11:30:34"
"Texmaco Infrastructure & Holdings Limited","127426590","82692750","    64.89","44733840","738800","     0.89","     0.58","09-Apr-2021 11:30:22","2115363","126717061","1.67","09-Apr-2021 11:30:22"
"Texmaco Rail & Engineering Limited","224859382","116077010","    51.62","108782372","738800","     0.64","     0.33","09-Apr-2021 11:30:31","10252359","224022423","4.58","09-Apr-2021 11:30:31"
"Texmo Pipes and Products Limited","29195000","12914955","    44.24","16280045","0","     0.00","     0.00","09-Apr-2021 11:30:30","621644","29194884","2.13","09-Apr-2021 11:30:30"
"Thangamayil Jewellery Limited","13719582","9613586","    70.07","4105996","1351780","    14.06","     9.85","09-Apr-2021 11:30:30","1654449","13719582","12.06","09-Apr-2021 11:30:30"
"The Andhra Sugars Limited","27107078","12715766","    46.91","14391312","286624","     2.25","     1.06","09-Apr-2021 11:30:16","2347982","14608444","16.07","09-Apr-2021 11:30:16"
"The Anup Engineering Limited","10219000","4253215","    41.62","5965785","0","     0.00","     0.00","09-Apr-2021 11:30:35","563312","9615564","5.86","09-Apr-2021 11:30:35"
"The Byke Hospitality Ltd","40097800","18788282","    46.86","21309518","0","     0.00","     0.00","09-Apr-2021 11:30:34","2048445","39420478","5.2","09-Apr-2021 11:30:34"
"The Federal Bank  Limited","1995855233","29232891","     1.46","1966622342","0","     0.00","     0.00","09-Apr-2021 11:30:08","112281146","1976075369","5.68","09-Apr-2021 11:30:08"
"The Great Eastern Shipping Company Limited","146966484","42936248","    29.21","104030236","0","     0.00","     0.00","09-Apr-2021 11:30:25","2694053","144696875","1.86","09-Apr-2021 11:30:25"
"The Hi-Tech Gears Limited","18768000","10453425","    55.70","8314575","0","     0.00","     0.00","09-Apr-2021 11:30:17","177432","18696296","0.95","09-Apr-2021 11:30:17"
"The India Cements Limited","309897201","88067646","    28.42","221829555","14800000","    16.81","     4.78","09-Apr-2021 11:30:08","38529791","308961641","12.47","09-Apr-2021 11:30:08"
"The Indian Hotels Company Limited","1189258445","484642250","    40.75","704616195","0","     0.00","     0.00","09-Apr-2021 11:30:14","12047261","1179100823","1.02","09-Apr-2021 11:30:14"
"The Jammu & Kashmir Bank Limited","713450938","486425578","    68.18","227025360","0","     0.00","     0.00","09-Apr-2021 11:30:18","24412026","700609812","3.48","09-Apr-2021 11:30:18"
"The Karnataka Bank Limited","310869689","0","     0.00","310869689","0",,"     0.00","09-Apr-2021 11:30:19","47149992","296478560","15.9","09-Apr-2021 11:30:19"
"The Mandhana Retail Ventures Limited","22082609","7324641","    33.17","14757968","3000","     0.04","     0.01","09-Apr-2021 11:30:34","1088454","22081095","4.93","09-Apr-2021 11:30:34"
"The Motor & General Finance Limited","38727190","26105018","    67.41","12622172","0","     0.00","     0.00","09-Apr-2021 11:30:08","122454","36793080","0.33","09-Apr-2021 11:30:08"
"The Orissa Minerals Development Company Limited","6000000","3000890","    50.01","2999110","0","     0.00","     0.00","09-Apr-2021 11:30:31","460708","5795040","7.95","09-Apr-2021 11:30:31"
"The Phoenix Mills Limited","171777516","78214487","    45.53","93563029","0","     0.00","     0.00","09-Apr-2021 11:30:26","333951","171584154","0.19","09-Apr-2021 11:30:26"
"The Ramco Cements Limited","235864277","100507560","    42.61","135356717","12460625","    12.40","     5.28","09-Apr-2021 11:30:08","4667247","225708537","2.07","09-Apr-2021 11:30:08"
"The Ruby Mills Limited","16720000","12523420","    74.90","4196580","0","     0.00","     0.00","09-Apr-2021 11:30:11","206866","16667396","1.24","09-Apr-2021 11:30:11"
"The Sandesh Limited","7569421","5663017","    74.81","1906404","0","     0.00","     0.00","09-Apr-2021 11:30:09","131582","7504359","1.75","09-Apr-2021 11:30:09"
