"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Route Mobile Employee Welfare Trust","Other","Equity Shares","2625","0",,"2625","856170","Sell","Equity Shares","Nil","0","30-Mar-2021","30-Mar-2021","01-Apr-2021","ESOP","-","-","0","0","0","0","NA","-","05-Apr-2021 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1098164_422163_05042021063300_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(3)","Bhargesh Ojha","-","Equity Shares","27887","0",,"5300","7823212","Buy","Equity Shares","33187","0","30-Mar-2021","30-Mar-2021","01-Apr-2021","ESOP","-","-","0","0","0","0","NA","-","05-Apr-2021 18:28","https://archives.nseindia.com/corporate/xbrl/IT_1098163_422152_05042021062855_WEB.xml"
"LAGNAM","Lagnam Spintex Limited","7(2)","KAVITA MANGAL","Promoter Group","Equity Shares","308000","1.74",,"21000","308100","Buy","Equity Shares","329000","1.86","22-Mar-2021","31-Mar-2021","01-Apr-2021","Market Purchase","-","-","0","0","0","0","NSE","-","05-Apr-2021 18:27","https://archives.nseindia.com/corporate/xbrl/IT_1098161_422149_05042021062725_WEB.xml"
"CHOLAHLDNG","Cholamandalam Financial Holdings Limited","7(2)","Lakshmi Venkatachalam","Promoter Group","Equity Shares","405100","0.22",,"403900","242016880","Sell","Equity Shares","1200","0","31-Mar-2021","31-Mar-2021","02-Apr-2021","Off Market","-","-","0","0","0","0","NA","-","05-Apr-2021 18:25","https://archives.nseindia.com/corporate/xbrl/IT_1098160_422145_05042021062543_WEB.xml"
"CHOLAHLDNG","Cholamandalam Financial Holdings Limited","7(2)","M M Venkatachalam Family Trust","Promoter Group","Equity Shares","Nil","0",,"403900","242016880","Buy","Equity Shares","403900","0.22","31-Mar-2021","31-Mar-2021","02-Apr-2021","Off Market","-","-","0","0","0","0","NA","-","05-Apr-2021 18:25","https://archives.nseindia.com/corporate/xbrl/IT_1098160_422145_05042021062543_WEB.xml"
"LOKESHMACH","Lokesh Machines Limited","7(2)","MULLAPUDI KANAKADURGA","Promoter Group","Equity Shares","700372","3.91",,"150000","4935000","Pledge Revoke","Equity Shares","700372","3.91","01-Apr-2021","01-Apr-2021","03-Apr-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","05-Apr-2021 18:24","https://archives.nseindia.com/corporate/xbrl/IT_1098159_422142_05042021062421_WEB.xml"
"LOKESHMACH","Lokesh Machines Limited","7(2)","MULLAPUDI SRINIVAS","Director","Equity Shares","1921615","10.74",,"400000","13160000","Pledge Revoke","Equity Shares","1921615","10.74","01-Apr-2021","01-Apr-2021","03-Apr-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","05-Apr-2021 18:24","https://archives.nseindia.com/corporate/xbrl/IT_1098159_422142_05042021062421_WEB.xml"
"ASIANTILES","Asian Granito India Limited","7(2)","Dipak Narayanbhai Patel","Other","Equity Shares","338092","0.99",,"43000","6226838","Sell","Equity Shares","295092","0.87","31-Mar-2021","31-Mar-2021","01-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 18:23","https://archives.nseindia.com/corporate/xbrl/IT_1098158_422140_05042021062338_WEB.xml"
"AMBUJACEM","Ambuja Cements Limited","7(2)","Pankaj Mota","Employees/Designated Employees","Equity Shares","20450","0",,"2500","749000","Sell","Equity Shares","17950","0","30-Mar-2021","30-Mar-2021","05-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 18:16","https://archives.nseindia.com/corporate/xbrl/IT_1098153_422134_05042021061623_WEB.xml"
"AMBUJACEM","Ambuja Cements Limited","7(2)","Pankaj Mota","Employees/Designated Employees","Equity Shares","13450","0",,"7000","2075000","Buy","Equity Shares","20450","0","25-Mar-2021","25-Mar-2021","05-Apr-2021","Market Purchase","-","-","0","0","0","0","NSE","-","05-Apr-2021 18:13","https://archives.nseindia.com/corporate/xbrl/IT_1098151_422123_05042021061334_WEB.xml"
"ICICIGI","ICICI Lombard General Insurance Company Limited","7(2)","PRAKASH SINHA","Employees/Designated Employees","Equity Shares","Nil","0",,"7440","8086164","Buy","Equity Shares","7440","0","31-Mar-2021","31-Mar-2021","02-Apr-2021","ESOP","-","-","0","0","0","0","NA","-","05-Apr-2021 18:12","https://archives.nseindia.com/corporate/xbrl/IT_1098149_422119_05042021061210_WEB.xml"
"AMBUJACEM","Ambuja Cements Limited","7(2)","Pankaj Mota","Employees/Designated Employees","Equity Shares","20450","0",,"7000","2106000","Sell","Equity Shares","13450","0","23-Mar-2021","23-Mar-2021","05-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 18:09","https://archives.nseindia.com/corporate/xbrl/IT_1098147_422112_05042021060929_WEB.xml"
"ASIANTILES","Asian Granito India Limited","7(2)","VINODBHAI L PATEL","Immediate relative","Equity Shares","42280","0.12",,"42280","6073185","Sell","Equity Shares","Nil","0","31-Mar-2021","31-Mar-2021","01-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 18:07","https://archives.nseindia.com/corporate/xbrl/IT_1098146_422107_05042021060752_WEB.xml"
"TANLA","Tanla Platforms Limited","7(2)","KAVITA DEEPAK GOYAL","-","Equity Shares","231043","0.17",,"27024","21980049","Sell","Equity Shares","204019","0.15","31-Mar-2021","31-Mar-2021","01-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 18:00","https://archives.nseindia.com/corporate/xbrl/IT_1098142_422092_05042021060011_WEB.xml"
"TANLA","Tanla Platforms Limited","7(2)","KAVITA DEEPAK GOYAL","-","Equity Shares","254932","0.19",,"23889","18864212","Sell","Equity Shares","231043","0.17","30-Mar-2021","30-Mar-2021","01-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 18:00","https://archives.nseindia.com/corporate/xbrl/IT_1098142_422092_05042021060011_WEB.xml"
"GAYAPROJ","Gayatri Projects Limited","7(2)","T. Indira  Reddy","Promoters","Equity Shares","56350213","30.1",,"108000","3369594","Pledge Invoke","Equity Shares","56242213","30.04","01-Apr-2021","01-Apr-2021","05-Apr-2021","Invocation of pledge","-","-","0","0","0","0","NSE","-","05-Apr-2021 17:56","https://archives.nseindia.com/corporate/xbrl/IT_1098139_422081_05042021055613_WEB.xml"
"COFORGE","Coforge Limited","7(2)","S Viswanathan","Employees/Designated Employees","Equity Shares","18458","0",,"4890","14344571","Buy","Equity Shares","23348","0","01-Apr-2021","01-Apr-2021","01-Apr-2021","ESOP","-","-","0","0","0","0","NA","-","05-Apr-2021 17:47","https://archives.nseindia.com/corporate/xbrl/IT_1098137_422060_05042021054743_WEB.xml"
"AAVAS","Aavas Financiers Limited","7(2)","KRISHNAKUMAR S SINGH","Employees/Designated Employees","Equity Shares","2320","0",,"223","435073","Sell","Equity Shares","2097","0","01-Feb-2021","01-Feb-2021","02-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 17:46","https://archives.nseindia.com/corporate/xbrl/IT_1098136_422058_05042021054631_WEB.xml"
"AAVAS","Aavas Financiers Limited","7(2)","KRISHNAKUMAR S SINGH","Employees/Designated Employees","Equity Shares","2097","0",,"350","848750","Sell","Equity Shares","1747","0","31-Mar-2021","31-Mar-2021","05-Apr-2021","Market Sale","-","-","0","0","0","0","BSE","-","05-Apr-2021 17:46","https://archives.nseindia.com/corporate/xbrl/IT_1098136_422058_05042021054631_WEB.xml"
"AAVAS","Aavas Financiers Limited","7(2)","BHAGAT SINGH","Employees/Designated Employees","Equity Shares","1673","0",,"788","1820792","Pledge Revoke","Equity Shares","1673","0","26-Mar-2021","26-Mar-2021","05-Apr-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","05-Apr-2021 17:46","https://archives.nseindia.com/corporate/xbrl/IT_1098136_422058_05042021054631_WEB.xml"
"AAVAS","Aavas Financiers Limited","7(2)","KRISHNAKUMAR S SINGH","Employees/Designated Employees","Equity Shares","1747","0",,"700","1697500","Sell","Equity Shares","1047","0","31-Mar-2021","31-Mar-2021","05-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 17:46","https://archives.nseindia.com/corporate/xbrl/IT_1098136_422058_05042021054631_WEB.xml"
"SRF","SRF Limited","7(2)","Puneet Yadu Dalmia","Director","Equity Shares","17800","0.03",,"17800","95500000","Sell","Equity Shares","Nil","0","31-Mar-2021","31-Mar-2021","02-Apr-2021","Market Sale","-","-","0","0","0","0","BSE,NSE","-","05-Apr-2021 17:24","https://archives.nseindia.com/corporate/xbrl/IT_1098132_422024_05042021052429_WEB.xml"
"GREENPANEL","Greenpanel Industries Limited","7(2)","Poonam Agarwal","Immediate relative","Equity Shares","15000","0.01",,"10000","1570371","Sell","Equity Shares","5000","0","31-Mar-2021","31-Mar-2021","02-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 17:23","https://archives.nseindia.com/corporate/xbrl/IT_1098131_422021_05042021052353_WEB.xml"
"GREENPANEL","Greenpanel Industries Limited","7(2)","Aanchal","Immediate relative","Equity Shares","10900","0",,"7000","1145000","Sell","Equity Shares","3900","0","22-Feb-2021","25-Mar-2021","02-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 17:23","https://archives.nseindia.com/corporate/xbrl/IT_1098131_422021_05042021052353_WEB.xml"
"ATFL","Agro Tech Foods Limited","7(2)","AGRO TECH ESOP TRUST","Other","Equity Shares","682928","2.8",,"3000","2483940","Sell","Equity Shares","679928","2.79","31-Mar-2021","31-Mar-2021","02-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 17:22","https://archives.nseindia.com/corporate/xbrl/IT_1098130_422015_05042021052256_WEB.xml"
"MAHLOG","Mahindra Logistics Limited","7(2)","Rajesh Selvam","Employees/Designated Employees","Equity Shares","6281","0.01",,"2134","1184129","Sell","Equity Shares","4147","0.01","31-Mar-2021","31-Mar-2021","01-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 17:20","https://archives.nseindia.com/corporate/xbrl/IT_1098126_422007_05042021052007_WEB.xml"
"RAMCOSYS","Ramco Systems Limited","7(2)","MANOJ KUMAR SINGH","Employees/Designated Employees","Equity Shares","Nil","0",,"8750","0","Buy","Equity Shares","8750","0.03","19-Mar-2021","19-Mar-2021","01-Apr-2021","ESOP","-","-","0","0","0","0","NA","-","05-Apr-2021 16:50","https://archives.nseindia.com/corporate/xbrl/IT_1098123_421945_05042021045027_WEB.xml"
"JKCEMENT","JK Cement Limited","7(2)","KALPANA SINGHANIA","Promoter Group","Equity Shares","499263","0.65",,"5000","11914469","Sell","Equity Shares","494263","0.64","10-Feb-2021","10-Feb-2021","12-Feb-2021","Market Sale","-","-","0","0","0","0","BSE","-","05-Apr-2021 16:44","https://archives.nseindia.com/corporate/xbrl/IT_1098122_421937_05042021044423_WEB.xml"
"KABRAEXTRU","Kabra Extrusion Technik Limited","7(2)","Kolsite Industries","Promoter Group","Equity Shares","229981","0.72",,"7000","1302350","Buy","Equity Shares","236981","0.74","30-Mar-2021","30-Mar-2021","01-Apr-2021","Market Purchase","-","-","0","0","0","0","NSE","-","05-Apr-2021 16:44","https://archives.nseindia.com/corporate/xbrl/IT_1098121_421935_05042021044400_WEB.xml"
"MATRIMONY","Matrimony.Com Limited","7(2)","Saichithra Swaminathan","Employees/Designated Employees","Equity Shares","94225","0.41",,"1444","1388406","Sell","Equity Shares","92781","0.4","31-Mar-2021","31-Mar-2021","02-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 16:34","https://archives.nseindia.com/corporate/xbrl/IT_1098118_421915_05042021043406_WEB.xml"
"MATRIMONY","Matrimony.Com Limited","7(2)","Saichithra Swaminathan","Employees/Designated Employees","Equity Shares","92781","0.4",,"350","337050","Sell","Equity Shares","92431","0.4","31-Mar-2021","31-Mar-2021","02-Apr-2021","Market Sale","-","-","0","0","0","0","BSE","-","05-Apr-2021 16:34","https://archives.nseindia.com/corporate/xbrl/IT_1098118_421915_05042021043406_WEB.xml"
"AARTIIND","Aarti Industries Limited","7(2)","ARTI RAJENDRA GOGRI","Promoter Group","Equity Shares","1068512","0.61",,"118000","0","Sell","Equity Shares","950512","0.55","31-Mar-2021","31-Mar-2021","01-Apr-2021","Gift","-","-","0","0","0","0","NA","-","05-Apr-2021 16:17","https://archives.nseindia.com/corporate/xbrl/IT_1098115_421878_05042021041734_WEB.xml"
"AARTIIND","Aarti Industries Limited","7(2)","RAJENDRA VALLABHAJI GOGRI","Promoters","Equity Shares","3109800","1.78",,"258000","0","Sell","Equity Shares","2851800","1.64","31-Mar-2021","31-Mar-2021","01-Apr-2021","Gift","-","-","0","0","0","0","NA","-","05-Apr-2021 16:17","https://archives.nseindia.com/corporate/xbrl/IT_1098115_421878_05042021041734_WEB.xml"
"AARTIIND","Aarti Industries Limited","7(2)","TULIP FAMILY TRUST","Promoter Group","Equity Shares","3180000","1.83",,"118000","0","Buy","Equity Shares","3298000","1.89","31-Mar-2021","31-Mar-2021","01-Apr-2021","Gift","-","-","0","0","0","0","NA","-","05-Apr-2021 16:17","https://archives.nseindia.com/corporate/xbrl/IT_1098115_421878_05042021041734_WEB.xml"
"AARTIIND","Aarti Industries Limited","7(2)","ORCHID FAMILY TRUST","Promoters","Equity Shares","3040000","1.74",,"258000","0","Buy","Equity Shares","3298000","1.89","31-Mar-2021","31-Mar-2021","01-Apr-2021","Gift","-","-","0","0","0","0","NA","-","05-Apr-2021 16:17","https://archives.nseindia.com/corporate/xbrl/IT_1098115_421878_05042021041734_WEB.xml"
"AARTIIND","Aarti Industries Limited","7(2)","LOTUS FAMILY TRUST","Promoter Group","Equity Shares","Nil","0",,"1249000","0","Buy","Equity Shares","1249000","0.72","31-Mar-2021","31-Mar-2021","01-Apr-2021","Gift","-","-","0","0","0","0","NA","-","05-Apr-2021 16:17","https://archives.nseindia.com/corporate/xbrl/IT_1098115_421878_05042021041734_WEB.xml"
"AARTIIND","Aarti Industries Limited","7(2)","JASMINE FAMILY TRUST","Promoter Group","Equity Shares","Nil","0",,"1375000","0","Buy","Equity Shares","1375000","0.79","31-Mar-2021","31-Mar-2021","01-Apr-2021","Gift","-","-","0","0","0","0","NA","-","05-Apr-2021 16:17","https://archives.nseindia.com/corporate/xbrl/IT_1098115_421878_05042021041734_WEB.xml"
"AARTIIND","Aarti Industries Limited","7(2)","Shreya Suneja","Promoters","Equity Shares","265000","0.15",,"5000","6625127","Sell","Equity Shares","260000","0.15","30-Mar-2021","30-Mar-2021","01-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 16:17","https://archives.nseindia.com/corporate/xbrl/IT_1098115_421878_05042021041734_WEB.xml"
"AARTIIND","Aarti Industries Limited","7(2)","Monisha Bhatia","Promoters","Equity Shares","250000","0.14",,"7758","10195194","Sell","Equity Shares","242242","0.14","31-Mar-2021","31-Mar-2021","02-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 16:17","https://archives.nseindia.com/corporate/xbrl/IT_1098115_421878_05042021041734_WEB.xml"
"AARTIIND","Aarti Industries Limited","7(2)","BHAVNA FAMILY PRIVATE TRUST","Promoters","Equity Shares","1628202","0.93",,"20000","26458214","Sell","Equity Shares","1608202","0.92","30-Mar-2021","30-Mar-2021","01-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 16:17","https://archives.nseindia.com/corporate/xbrl/IT_1098115_421878_05042021041734_WEB.xml"
"AARTIIND","Aarti Industries Limited","7(2)","RENIL RAJENDRA GOGRI","Promoter Group","Equity Shares","6834504","3.92",,"1249000","0","Sell","Equity Shares","5585504","3.21","31-Mar-2021","31-Mar-2021","01-Apr-2021","Gift","-","-","0","0","0","0","NA","-","05-Apr-2021 16:17","https://archives.nseindia.com/corporate/xbrl/IT_1098115_421878_05042021041734_WEB.xml"
"AARTIIND","Aarti Industries Limited","7(2)","INDIRA MADAN DEDHIA","Promoter Group","Equity Shares","394839","0.23",,"25000","33300158","Sell","Equity Shares","369839","0.21","30-Mar-2021","30-Mar-2021","01-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 16:17","https://archives.nseindia.com/corporate/xbrl/IT_1098115_421878_05042021041734_WEB.xml"
"AARTIIND","Aarti Industries Limited","7(2)","INDIRA MADAN DEDHIA","Promoter Group","Equity Shares","369839","0.21",,"5000","6665110","Sell","Equity Shares","364839","0.21","30-Mar-2021","30-Mar-2021","01-Apr-2021","Market Sale","-","-","0","0","0","0","BSE","-","05-Apr-2021 16:17","https://archives.nseindia.com/corporate/xbrl/IT_1098115_421878_05042021041734_WEB.xml"
"AARTIIND","Aarti Industries Limited","7(2)","MIRIK RAJENDRA GOGRI","Promoter Group","Equity Shares","6961192","4",,"1375000","0","Sell","Equity Shares","5586192","3.21","31-Mar-2021","31-Mar-2021","01-Apr-2021","Gift","-","-","0","0","0","0","NA","-","05-Apr-2021 16:17","https://archives.nseindia.com/corporate/xbrl/IT_1098115_421878_05042021041734_WEB.xml"
"GRAPHITE","Graphite India Limited","7(2)","SIDDHANT BANGUR","Promoter Group","Equity Shares","100","0.13",,"248545","0","Buy","Equity Shares","248645","0.13","05-Apr-2021","05-Apr-2021","05-Apr-2021","Gift","-","-","0","0","0","0","NA","-","05-Apr-2021 15:57","https://archives.nseindia.com/corporate/xbrl/IT_1098112_421843_05042021035750_WEB.xml"
"GRAPHITE","Graphite India Limited","7(2)","KRISHNA KUMAR BANGUR","Promoters","Equity Shares","1656386","0.85",,"248545","0","Sell","Equity Shares","1407841","0.72","05-Apr-2021","05-Apr-2021","05-Apr-2021","Gift","-","-","0","0","0","0","NA","-","05-Apr-2021 15:41","https://archives.nseindia.com/corporate/xbrl/IT_1098109_421817_05042021034156_WEB.xml"
"HUBTOWN","Hubtown Limited","7(2)","Mahipatray V. Shah HUF","Promoter Group","Equity Shares","1720000","2.36",,"230000","3622500","Pledge Revoke","Equity Shares","1720000","2.36","01-Apr-2021","01-Apr-2021","05-Apr-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","05-Apr-2021 15:41","https://archives.nseindia.com/corporate/xbrl/IT_1098108_421815_05042021034155_WEB.xml"
"APOLLOTYRE","Apollo Tyres Limited","7(2)","Sunrays Properties & Investment Co. Pvt. Ltd.sUNRAYS P","Promoter Group","Equity Shares","128387334","20.22",,"800000","178960000","Pledge Revoke","Equity Shares","128387334","20.22","31-Mar-2021","31-Mar-2021","01-Apr-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","05-Apr-2021 15:17","https://archives.nseindia.com/corporate/xbrl/IT_1098105_421788_05042021031708_WEB.xml"
"TIINDIA","Tube Investments of India Limited","7(2)","Lakshmi Venkatachalam","Promoter Group","Equity Shares","405100","0.21",,"403900","0","Sell","Equity Shares","1200","0","31-Mar-2021","31-Mar-2021","02-Apr-2021","Off Market","-","-","0","0","0","0","NA","-","05-Apr-2021 15:10","https://archives.nseindia.com/corporate/xbrl/IT_1098102_421773_05042021031006_WEB.xml"
"TIINDIA","Tube Investments of India Limited","7(2)","M M Venkatachalam Family Trust","Promoter Group","Equity Shares","Nil","0",,"403900","0","Buy","Equity Shares","403900","0.21","31-Mar-2021","31-Mar-2021","02-Apr-2021","Off Market","-","-","0","0","0","0","NA","-","05-Apr-2021 15:10","https://archives.nseindia.com/corporate/xbrl/IT_1098102_421773_05042021031006_WEB.xml"
"PVR","PVR Limited","7(2)","Ajay Kumar Kalra","-","Equity Shares","6076","0.01",,"1600","2240000","Buy","Equity Shares","7676","0.01","31-Mar-2021","31-Mar-2021","05-Apr-2021","ESOP","-","-","0","0","0","0","NSE","-","05-Apr-2021 14:39","https://archives.nseindia.com/corporate/xbrl/IT_1098099_421722_05042021023914_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Gautam Badalia","Employees/Designated Employees","Equity Shares","8734","0.02",,"4626","6630799","Pledge Revoke","Equity Shares","8734","0.02","31-Mar-2021","31-Mar-2021","01-Apr-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","05-Apr-2021 13:25","https://archives.nseindia.com/corporate/xbrl/IT_1098094_421647_05042021012515_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Gautam Badalia","Employees/Designated Employees","Equity Shares","13234","0.02",,"3500","5136580","Sell","Equity Shares","9734","0.02","26-Mar-2021","26-Mar-2021","31-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 13:25","https://archives.nseindia.com/corporate/xbrl/IT_1098094_421647_05042021012515_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Gautam Badalia","Employees/Designated Employees","Equity Shares","13234","0.02",,"3500","5136580","Pledge Revoke","Equity Shares","13234","0.02","26-Mar-2021","26-Mar-2021","31-Mar-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","05-Apr-2021 13:25","https://archives.nseindia.com/corporate/xbrl/IT_1098094_421647_05042021012515_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Sammy S Mamdani","Employees/Designated Employees","Equity Shares","15862","0.03",,"1862","2696804","Sell","Equity Shares","14000","0.02","30-Mar-2021","30-Mar-2021","31-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 13:25","https://archives.nseindia.com/corporate/xbrl/IT_1098094_421647_05042021012515_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Sammy S Mamdani","Employees/Designated Employees","Equity Shares","16000","0.03",,"138","209149","Sell","Equity Shares","15862","0.03","24-Mar-2021","24-Mar-2021","31-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 13:25","https://archives.nseindia.com/corporate/xbrl/IT_1098094_421647_05042021012515_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Rahul Pandey","Employees/Designated Employees","Equity Shares","46775","0.08",,"2493","3539441","Sell","Equity Shares","44282","0.01","31-Mar-2021","31-Mar-2021","05-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 13:25","https://archives.nseindia.com/corporate/xbrl/IT_1098094_421647_05042021012515_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Gautam Badalia","Employees/Designated Employees","Equity Shares","4108","0.01",,"4108","6037528","Pledge Revoke","Equity Shares","4108","0.01","01-Apr-2021","01-Apr-2021","05-Apr-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","05-Apr-2021 13:25","https://archives.nseindia.com/corporate/xbrl/IT_1098094_421647_05042021012515_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Gautam Badalia","Employees/Designated Employees","Equity Shares","9734","0.02",,"1000","1418938","Sell","Equity Shares","8734","0.02","30-Mar-2021","30-Mar-2021","31-Mar-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 13:25","https://archives.nseindia.com/corporate/xbrl/IT_1098094_421647_05042021012515_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Sammy S Mamdani","Employees/Designated Employees","Equity Shares","16000","0.03",,"138","209149","Pledge Revoke","Equity Shares","16000","0.03","24-Mar-2021","24-Mar-2021","31-Mar-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","05-Apr-2021 13:25","https://archives.nseindia.com/corporate/xbrl/IT_1098094_421647_05042021012515_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Sammy S Mamdani","Employees/Designated Employees","Equity Shares","15862","0.03",,"1862","2696804","Pledge Revoke","Equity Shares","15862","0.03","30-Mar-2021","30-Mar-2021","31-Mar-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","05-Apr-2021 13:25","https://archives.nseindia.com/corporate/xbrl/IT_1098094_421647_05042021012515_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Sammy S Mamdani","Employees/Designated Employees","Equity Shares","14000","0.02",,"3000","4264910","Sell","Equity Shares","11000","0.02","31-Mar-2021","31-Mar-2021","01-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 13:25","https://archives.nseindia.com/corporate/xbrl/IT_1098094_421647_05042021012515_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Gautam Badalia","Employees/Designated Employees","Equity Shares","9734","0.02",,"1000","1418938","Pledge Revoke","Equity Shares","9734","0.02","30-Mar-2021","30-Mar-2021","31-Mar-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","05-Apr-2021 13:25","https://archives.nseindia.com/corporate/xbrl/IT_1098094_421647_05042021012515_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Gautam Badalia","Employees/Designated Employees","Equity Shares","8734","0.02",,"4626","6630799","Sell","Equity Shares","4108","0.01","31-Mar-2021","31-Mar-2021","01-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 13:25","https://archives.nseindia.com/corporate/xbrl/IT_1098094_421647_05042021012515_WEB.xml"
"GNA","GNA Axles Limited","7(2)","GNA GEARS LIMITED","-","Equity Shares","50","0",,"300","108000","Buy","Equity Shares","350","0","30-Mar-2021","31-Mar-2021","25-Mar-2021","Market Purchase","-","-","0","0","0","0","NSE","-","05-Apr-2021 13:09","https://archives.nseindia.com/corporate/xbrl/IT_1098093_421623_05042021010909_WEB.xml"
"CUB","City Union Bank Limited","7(2)","J SRIDHARAN","Employees/Designated Employees","Equity Shares","88157","0.01",,"18000","2833380","Sell","Equity Shares","70157","0","31-Mar-2021","31-Mar-2021","01-Apr-2021","Market Sale","-","-","0","0","0","0","BSE,NSE","-","05-Apr-2021 11:39","https://archives.nseindia.com/corporate/xbrl/IT_1098088_421503_05042021113901_WEB.xml"
"BIOCON","Biocon Limited","7(2)","SETHUMADHAVAN SANKARAN","-","Equity Shares","61000","0",,"7000","2820000","Sell","Equity Shares","54000","0","31-Mar-2021","31-Mar-2021","05-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 11:35","https://archives.nseindia.com/corporate/xbrl/IT_1098087_421496_05042021113551_WEB.xml"
"APOLLO","Apollo Micro Systems Limited","7(3)","APOLLO EMPLOYEES FOUNDATION","-","Equity Shares","1227","0.01",,"1227","115338","Sell","Equity Shares","Nil","0","30-Mar-2021","30-Mar-2021","01-Apr-2021","Market Sale","-","-","0","0","0","0","NSE","-","05-Apr-2021 10:50","https://archives.nseindia.com/corporate/xbrl/IT_1098084_421461_05042021105031_WEB.xml"
