,SYMBOL, DATE1, SERIES, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, CLOSE_PRICE, TTL_TRD_QNTY, NO_OF_TRADES, DELIV_QTY, DELIV_PER,HiLo,Wick,ClOP_per,Wick_Percentage,HiLo_Percentage,vol_dis,Factor,Per_vol_Updown,delivery_Factor,delivery_density
45,2021-01-11,ADANIENT, EQ,520.5,524.5,510.5,519.15,4148831,32200,394848.0,9.52,14.0,12.65,-0.26,2.44,2.669921875,1553914.76,129.62,-0.32,79.18,-81.26
46,2021-01-12,ADANIENT, EQ,519.0,536.5,517.0,525.4,4878024,49859,524943.0,10.76,19.5,13.1,1.22,2.49,3.640625,1342046.37,28.31,-15.79,75.58,-4.77
47,2021-01-13,ADANIENT, EQ,529.0,540.0,521.5,536.05,4948731,53214,356409.0,7.2,18.5,11.45,1.32,2.14,3.419921875,1444555.46,22.47,7.1,54.09,-39.73
48,2021-01-14,ADANIENT, EQ,535.0,541.0,528.5,532.1,3161306,36217,393110.0,12.44,12.5,9.6,-0.55,1.8,2.310546875,1368206.82,45.79,-5.58,88.29,38.74
49,2021-01-15,ADANIENT, EQ,534.5,537.5,519.0,527.3,3376852,40288,530463.0,15.71,18.5,11.3,-1.37,2.14,3.439453125,981241.9,21.71,-39.44,80.5,-9.68
50,2021-01-18,ADANIENT, EQ,528.0,529.0,502.0,507.85,5204588,59387,759027.0,14.58,27.0,6.85,-3.97,1.35,5.1015625,1019414.33,4.7,3.74,78.92,-2.0
51,2021-01-19,ADANIENT, EQ,512.5,532.0,512.5,530.1,4181185,50659,422742.0,10.11,19.5,1.9,3.32,0.36,3.66015625,1140525.69,1.49,10.62,60.86,-29.67
52,2021-01-20,ADANIENT, EQ,532.0,552.0,531.0,546.75,6681731,85212,858284.0,12.85,21.0,6.25,2.7,1.14,3.80078125,1756183.92,5.86,35.06,114.74,46.96
53,2021-01-21,ADANIENT, EQ,551.5,553.0,531.5,536.9,4208383,42036,630128.0,14.97,21.5,6.9,-2.72,1.29,3.890625,1082216.02,6.54,-62.28,82.28,-39.45
54,2021-01-22,ADANIENT, EQ,534.0,547.0,521.5,526.8,4179558,45471,498556.0,11.93,25.5,18.3,-1.37,3.47,4.66015625,896870.79,35.16,-20.67,54.89,-49.91
55,2021-01-25,ADANIENT, EQ,530.0,534.5,509.0,513.9,3728411,38888,349196.0,9.37,25.5,9.4,-3.13,1.83,4.76953125,781714.35,8.08,-14.73,38.45,-42.77
56,2021-01-27,ADANIENT, EQ,513.0,521.5,507.0,512.8,2792007,26971,328464.0,11.76,14.5,14.3,-0.04,2.79,2.779296875,1003867.69,989.05,22.13,63.6,39.55
57,2021-01-28,ADANIENT, EQ,507.25,519.5,501.0,511.85,4197516,45012,304429.0,7.25,18.25,13.65,0.9,2.67,3.509765625,1194623.79,41.05,15.97,46.83,-35.8
58,2021-01-29,ADANIENT, EQ,515.0,525.0,502.5,506.65,3822560,51287,567084.0,14.84,22.5,14.15,-1.65,2.79,4.28125,892046.82,23.44,-33.92,70.76,33.82
59,2021-02-01,ADANIENT, EQ,510.5,539.5,497.0,537.2,4004036,47536,579223.0,14.47,42.46875,15.8,4.97,2.94,7.87890625,508449.02,8.19,-75.44,38.26,-84.93
60,2021-02-02,ADANIENT, EQ,542.0,567.0,541.0,564.2,5144708,59813,784251.0,15.24,26.0,3.8,3.93,0.67,4.578125,1121844.33,2.37,54.68,84.68,54.82
61,2021-02-03,ADANIENT, EQ,568.0,576.5,558.5,566.6,6087209,72204,838057.0,13.77,18.0,16.6,-0.25,2.93,3.119140625,1949125.08,164.02,42.44,130.71,35.21
62,2021-02-04,ADANIENT, EQ,562.0,611.5,556.0,589.7,11184167,131091,950124.0,8.5,55.53125,27.8,4.7,4.71,9.078125,1231990.86,13.88,-58.21,48.06,-171.97
63,2021-02-05,ADANIENT, EQ,595.0,608.0,588.5,595.35,4754950,61829,549258.0,11.55,19.5,19.15,0.06,3.22,3.2109375,1482664.07,756.86,16.91,79.08,39.22
64,2021-02-08,ADANIENT, EQ,605.5,638.0,603.5,628.3,7085276,98888,719083.0,10.15,34.5,11.7,3.63,1.86,5.3984375,1310571.28,7.1,-13.13,58.52,-35.14
65,2021-02-09,ADANIENT, EQ,631.5,642.0,621.0,629.85,4510798,58734,537600.0,11.92,21.0,19.35,-0.26,3.07,3.26953125,1378823.03,162.22,4.95,71.87,18.58
66,2021-02-10,ADANIENT, EQ,633.0,655.0,622.0,650.7,5991927,71564,436173.0,7.28,33.0,15.3,2.72,2.35,5.0390625,1189095.59,11.96,-15.96,37.11,-93.68
67,2021-02-11,ADANIENT, EQ,654.0,inf,645.5,658.6,3688016,58679,625980.0,16.97,15.5,10.9,0.7,1.66,2.349609375,1572243.29,32.78,24.37,113.38,67.27
68,2021-02-12,ADANIENT, EQ,inf,inf,655.0,718.95,16810897,213711,1103612.0,6.56,69.5,7.55,8.62,1.05,9.6015625,1752275.91,1.69,10.27,44.58,-154.33
69,2021-02-15,ADANIENT, EQ,inf,inf,inf,763.45,21579566,309592,1172107.0,5.43,80.5,42.05,5.04,5.51,10.2109375,2113377.54,15.13,17.09,40.88,-9.06
70,2021-02-16,ADANIENT, EQ,inf,inf,inf,780.2,19426061,265192,1512712.0,7.79,47.0,26.8,2.59,3.44,5.8515625,3319807.49,18.35,36.34,90.36,54.76
71,2021-02-17,ADANIENT, EQ,inf,inf,inf,785.45,8908279,127468,632464.0,7.1,20.0,18.45,-0.2,2.35,2.490234375,3571682.73,164.66,7.05,88.78,-1.78
72,2021-02-18,ADANIENT, EQ,inf,inf,inf,808.2,9694238,118120,627733.0,6.48,38.5,17.3,2.62,2.14,4.671875,2076757.26,11.29,-71.98,45.78,-93.95
73,2021-02-19,ADANIENT, EQ,inf,inf,inf,781.9,20210882,264125,1147154.0,5.68,101.5,70.4,-3.98,9.0,12.21875,1654087.53,31.31,-25.55,31.73,-44.26
74,2021-02-22,ADANIENT, EQ,inf,inf,inf,805.9,10890564,141428,617951.0,5.67,32.5,12.6,2.47,1.56,4.0,2723971.06,8.76,39.28,53.38,40.56
75,2021-02-23,ADANIENT, EQ,inf,inf,inf,799.65,9753081,147152,795752.0,8.16,38.5,23.15,-1.92,2.9,4.6484375,2096380.13,20.86,-29.94,58.03,8.01
76,2021-02-25,ADANIENT, EQ,inf,inf,inf,843.5,12118095,149215,1189916.0,9.82,53.53125,24.0,3.5,2.85,6.19921875,1952317.38,11.25,-7.38,62.44,7.07
77,2021-02-26,ADANIENT, EQ,inf,inf,inf,833.65,11355426,145986,1083310.0,9.54,41.0,40.65,-0.04,4.88,4.76171875,2384732.61,1606.59,18.13,74.18,15.82
78,2021-03-01,ADANIENT, EQ,inf,inf,inf,851.5,5996840,77419,798167.0,13.31,24.5,14.0,1.23,1.64,2.83984375,2107331.56,18.44,-13.16,91.46,18.9
79,2021-03-02,ADANIENT, EQ,inf,inf,inf,872.55,5116413,64705,749826.0,14.66,24.5,9.45,1.72,1.08,2.80078125,1830610.38,8.69,-15.12,85.92,-6.45
80,2021-03-03,ADANIENT, EQ,inf,inf,inf,915.35,11670544,162581,1013517.0,8.68,72.0,37.15,3.81,4.06,7.62109375,1532132.96,14.75,-19.48,39.52,-117.42
81,2021-03-04,ADANIENT, EQ,inf,inf,inf,918.4,8141787,111078,986940.0,12.12,33.0,24.6,0.91,2.68,3.51953125,2315886.08,40.51,33.84,83.96,52.93
82,2021-03-05,ADANIENT, EQ,inf,inf,inf,909.9,7109101,103409,656464.0,9.23,45.53125,37.4,-0.89,4.11,4.87890625,1458277.13,63.87,-58.81,40.51,-107.29
83,2021-03-08,ADANIENT, EQ,inf,inf,inf,910.2,3904469,63631,386713.0,9.9,21.5,13.7,-0.86,1.51,2.3203125,1682734.11,24.3,13.34,50.5,19.79
84,2021-03-09,ADANIENT, EQ,inf,inf,inf,905.2,5561849,79060,881620.0,15.85,35.0,22.2,-1.41,2.45,3.76953125,1475474.97,23.99,-14.05,70.72,28.59
85,2021-03-10,ADANIENT, EQ,inf,inf,inf,898.15,5465016,72031,704295.0,12.89,25.5,12.65,-1.43,1.41,2.7890625,1959445.51,13.62,24.7,77.54,8.8
86,2021-03-12,ADANIENT, EQ,inf,inf,inf,894.1,6049852,83542,1093106.0,18.07,34.5,23.6,-1.22,2.64,3.740234375,1620044.05,29.95,-20.95,88.95,12.83
87,2021-03-19,ADANIENT, EQ,inf,inf,inf,889.65,4794995,63473,645991.0,13.47,55.53125,31.85,2.66,3.58,6.19921875,773483.76,18.63,-109.45,32.68,-172.21
0,2020-11-02,ADANIPORTS, EQ,360.0,363.0,351.25,356.9,9364431,143754,3592391.0,38.36,11.5,8.4,-0.87,2.35,3.169921875,2954151.99,105.32,100.0,247.16,100.0
1,2020-11-03,ADANIPORTS, EQ,362.0,363.0,347.25,353.65,7971473,146787,2659198.0,33.36,15.5,7.15,-2.36,2.02,4.26953125,1865353.83,33.28,-58.37,135.74,-82.08
2,2020-11-04,ADANIPORTS, EQ,367.75,369.5,349.5,361.1,17940352,135409,4389550.0,24.47,20.0,13.35,-1.84,3.7,5.421875,3313658.09,78.03,43.71,173.66,21.83
3,2020-11-05,ADANIPORTS, EQ,366.0,374.75,364.25,368.65,16920686,81951,9077164.0,53.65,10.5,7.85,0.72,2.13,2.80078125,6037206.43,115.14,45.11,684.01,74.61
4,2020-11-06,ADANIPORTS, EQ,368.75,376.0,365.75,371.1,7290106,56970,2404474.0,32.98,10.25,7.9,0.63,2.13,2.73046875,2673735.15,130.66,-125.8,185.61,-268.52
5,2020-11-09,ADANIPORTS, EQ,375.0,376.0,366.0,367.05,7038841,49135,3523993.0,50.06,10.0,2.05,-2.17,0.56,2.66015625,2646025.4,10.02,-1.05,278.83,33.43
6,2020-11-10,ADANIPORTS, EQ,371.0,374.5,364.25,366.75,6850175,88296,2734127.0,39.91,10.25,6.25,-1.09,1.7,2.740234375,2503418.7,60.73,-5.7,211.05,-32.11
7,2020-11-11,ADANIPORTS, EQ,366.75,372.5,365.0,371.6,4370366,56788,1498824.0,34.3,7.25,2.4,1.31,0.65,1.9501953125,2245486.6,19.23,-11.49,163.57,-29.03
8,2020-11-12,ADANIPORTS, EQ,373.0,375.25,366.0,368.05,4759659,43387,1820911.0,38.26,9.5,4.55,-1.34,1.24,2.529296875,1881811.13,35.73,-19.33,151.66,-7.86
9,2020-11-14,ADANIPORTS, EQ,369.0,369.0,363.0,366.1,444529,8224,213517.0,48.03,6.0,3.1,-0.79,0.85,1.6298828125,273392.01,41.55,-588.32,28.16,-438.62
10,2020-11-17,ADANIPORTS, EQ,368.75,387.0,366.5,379.65,11192618,108529,3818822.0,34.12,20.5,9.35,2.94,2.46,5.30078125,2111503.47,32.59,87.05,147.39,80.9
11,2020-11-18,ADANIPORTS, EQ,382.0,395.25,382.0,391.1,15514329,159514,4974645.0,32.06,13.25,4.15,2.33,1.06,3.349609375,4628983.94,17.73,54.39,297.06,50.38
12,2020-11-19,ADANIPORTS, EQ,390.0,392.75,379.5,381.9,6894431,71682,1824439.0,26.46,13.25,5.15,-2.12,1.35,3.369140625,2043977.23,24.71,-126.47,108.95,-172.67
13,2020-11-20,ADANIPORTS, EQ,381.0,382.75,373.0,375.85,5562369,90980,1373561.0,24.69,9.75,4.6,-1.37,1.22,2.55078125,2183997.64,34.72,6.41,111.47,2.26
14,2020-11-23,ADANIPORTS, EQ,375.75,379.25,370.25,375.15,4065424,49565,1050441.0,25.84,9.0,8.4,-0.16,2.24,2.369140625,1713166.33,544.15,-27.48,92.35,-20.7
15,2020-11-24,ADANIPORTS, EQ,378.0,402.0,376.0,392.25,19485370,200786,2329051.0,11.95,26.0,11.75,3.63,3.0,6.46875,3012231.11,32.05,43.13,70.88,-30.29
16,2020-11-25,ADANIPORTS, EQ,396.25,404.75,384.75,398.95,18238080,186507,3695655.0,20.26,20.25,17.55,0.68,4.4,5.0,3644768.52,252.64,17.35,144.4,50.92
17,2020-11-26,ADANIPORTS, EQ,400.75,413.0,395.75,410.15,12856261,141046,2513675.0,19.55,17.25,7.85,2.29,1.91,4.1796875,3078767.84,32.46,-18.38,115.3,-25.24
18,2020-11-27,ADANIPORTS, EQ,411.0,416.0,408.25,411.55,10593353,103550,4012544.0,37.88,7.75,7.2,0.13,1.75,1.8603515625,5685321.53,508.82,45.85,409.65,71.85
19,2020-12-01,ADANIPORTS, EQ,415.0,426.0,412.25,423.8,9170159,100625,2295655.0,25.03,14.0,5.2,2.08,1.23,3.2890625,2789733.46,22.97,-103.79,129.74,-215.75
20,2020-12-02,ADANIPORTS, EQ,425.0,442.0,420.25,438.2,13049398,140237,3050076.0,23.37,21.765625,8.55,3.01,1.95,4.921875,2651306.26,25.18,-5.22,110.96,-16.93
21,2020-12-03,ADANIPORTS, EQ,442.0,444.5,433.0,435.8,10810399,97802,3437310.0,31.8,11.5,5.3,-1.42,1.22,2.58984375,4177301.35,33.23,36.53,236.49,53.08
22,2020-12-04,ADANIPORTS, EQ,439.75,458.25,439.0,453.7,10271034,104783,1627912.0,15.85,19.25,5.3,3.07,1.17,4.19921875,2445939.26,14.77,-70.79,66.91,-253.44
23,2020-12-07,ADANIPORTS, EQ,461.0,475.0,459.0,471.5,16140936,154105,1509290.0,9.35,16.0,5.5,2.23,1.17,3.369140625,4790816.95,20.36,48.95,74.64,10.35
24,2020-12-08,ADANIPORTS, EQ,472.75,475.0,457.5,463.35,9218366,105341,2356232.0,25.56,17.25,7.85,-2.03,1.69,3.630859375,2537528.71,32.46,-88.8,108.08,30.94
25,2020-12-09,ADANIPORTS, EQ,467.75,470.0,458.25,463.9,5811412,67073,1003390.0,17.27,11.75,7.9,-0.83,1.7,2.5,2324564.8,79.76,-9.16,67.57,-59.95
26,2020-12-10,ADANIPORTS, EQ,464.0,474.0,457.0,471.0,4785102,52741,862937.0,18.03,17.0,10.0,1.49,2.12,3.580078125,1334407.53,55.53,-74.2,40.16,-68.23
27,2020-12-11,ADANIPORTS, EQ,471.75,475.0,462.75,466.3,4922448,52997,555702.0,11.29,12.25,6.8,-1.17,1.46,2.580078125,1909313.16,48.5,30.11,35.89,-11.9
28,2020-12-14,ADANIPORTS, EQ,468.5,472.75,463.0,467.0,5943652,69266,1048729.0,17.64,9.5,8.0,-0.32,1.71,2.009765625,2957385.64,207.3,35.44,87.35,58.91
29,2020-12-15,ADANIPORTS, EQ,469.5,479.75,461.5,475.75,10973876,128683,1723295.0,15.7,18.25,12.0,1.31,2.52,3.80078125,2884304.16,74.63,-2.53,74.71,-16.91
30,2020-12-16,ADANIPORTS, EQ,480.0,480.75,473.25,475.55,5452263,70859,1329344.0,24.38,7.25,2.8,-0.94,0.59,1.509765625,3613668.16,24.46,20.18,145.08,48.5
31,2020-12-17,ADANIPORTS, EQ,478.0,478.75,465.5,467.75,6757703,102164,2083588.0,30.83,13.25,3.0,-2.19,0.64,2.76953125,2441738.84,11.38,-48.0,124.42,-16.6
32,2020-12-18,ADANIPORTS, EQ,467.75,473.0,458.5,463.3,5980780,70891,1889805.0,31.6,14.5,10.05,-0.96,2.17,3.0703125,1950419.97,87.78,-25.19,103.12,-20.66
33,2020-12-21,ADANIPORTS, EQ,459.0,467.0,427.25,444.25,8223842,89880,1707971.0,20.77,39.75,25.0,-3.32,5.63,8.5234375,965735.57,65.88,-101.96,34.0,-203.32
